,player_id,player_name,tourney_level,surface,decade,matches_won,matches_lost,win_rate,hand,ioc,avg_rank,score
0,100282,Guillermo Vilas,A,Clay,90s,0.0,2.0,0.0,L,ARG,410.0,0.0
1,100284,Jimmy Connors,A,Carpet,90s,0.0,5.0,0.0,L,USA,49.0,0.0
2,100284,Jimmy Connors,A,Clay,90s,3.0,6.0,0.3333333333333333,L,USA,38.0,0.2070664176483987
4,100284,Jimmy Connors,A,Hard,90s,22.0,17.0,0.5641025641025641,L,USA,33.0,0.5819638372629514
5,100284,Jimmy Connors,G,Clay,90s,2.0,2.0,0.5,L,USA,38.0,0.21709982226231764
6,100284,Jimmy Connors,G,Grass,90s,2.0,2.0,0.5,L,USA,38.0,0.21709982226231764
7,100284,Jimmy Connors,G,Hard,90s,6.0,2.0,0.75,L,USA,33.0,0.46087077909222357
8,100284,Jimmy Connors,M,Carpet,90s,2.0,2.0,0.5,L,USA,47.0,0.2060015815550135
9,100284,Jimmy Connors,M,Hard,90s,3.0,4.0,0.42857142857142855,L,USA,36.0,0.24373993785333603
10,100286,Harold Solomon,M,Hard,90s,0.0,1.0,0.0,R,USA,1029.0,0.0
12,100431,Mansour Bahrami,A,Clay,90s,0.0,1.0,0.0,R,IRI,1083.0,0.0
13,100431,Mansour Bahrami,A,Hard,90s,0.0,1.0,0.0,R,IRI,1047.0,0.0
14,100437,Bjorn Borg,A,Carpet,90s,0.0,2.0,0.0,R,SWE,762.0,0.0
15,100437,Bjorn Borg,A,Clay,90s,0.0,3.0,0.0,R,SWE,886.0,0.0
16,100437,Bjorn Borg,A,Hard,90s,0.0,5.0,0.0,R,SWE,776.0,0.0
17,100437,Bjorn Borg,M,Clay,90s,0.0,2.0,0.0,R,SWE,1094.0,0.0
18,100529,Kevin Curren,A,Carpet,90s,9.0,7.0,0.5625,R,USA,58.0,0.3881119050765151
19,100529,Kevin Curren,A,Clay,90s,0.0,1.0,0.0,R,USA,78.0,0.0
20,100529,Kevin Curren,A,Grass,90s,2.0,3.0,0.4,R,USA,53.0,0.178270851874969
21,100529,Kevin Curren,A,Hard,90s,11.0,16.0,0.4074074074074074,R,USA,49.0,0.34405213173459126
22,100529,Kevin Curren,G,Clay,90s,1.0,1.0,0.5,R,USA,92.0,0.12070256336439827
23,100529,Kevin Curren,G,Grass,90s,1.0,2.0,0.3333333333333333,R,USA,55.0,0.11394148503631576
24,100529,Kevin Curren,G,Hard,90s,1.0,2.0,0.3333333333333333,R,USA,74.0,0.1064707858847746
25,100529,Kevin Curren,M,Hard,90s,5.0,6.0,0.45454545454545453,R,USA,57.0,0.27618653946773186
26,100532,Johan Kriek,A,Carpet,90s,2.0,2.0,0.5,R,USA,474.0,0.1304894843494975
27,100532,Johan Kriek,A,Grass,90s,1.0,2.0,0.3333333333333333,R,USA,685.0,0.07072880672772558
28,100532,Johan Kriek,A,Hard,90s,0.0,2.0,0.0,R,USA,270.0,0.0
29,100532,Johan Kriek,G,Grass,90s,0.0,1.0,0.0,R,USA,1045.0,0.0
30,100532,Johan Kriek,M,Hard,90s,0.0,1.0,0.0,R,USA,537.0,0.0
31,100536,Fernando Luna,A,Clay,90s,0.0,2.0,0.0,R,ESP,127.0,0.0
32,100536,Fernando Luna,G,Hard,90s,0.0,1.0,0.0,R,ESP,111.0,0.0
33,100553,Nduka Odizor,A,Carpet,90s,0.0,2.0,0.0,R,NGR,203.0,0.0
34,100553,Nduka Odizor,A,Hard,90s,0.0,1.0,0.0,R,NGR,557.0,0.0
35,100581,John McEnroe,A,Carpet,90s,16.0,9.0,0.64,L,USA,15.0,0.7253823058145732
36,100581,John McEnroe,A,Clay,90s,1.0,2.0,0.3333333333333333,L,USA,12.0,0.17184179576692277
37,100581,John McEnroe,A,Grass,90s,3.0,2.0,0.6,L,USA,17.0,0.3605698531203687
38,100581,John McEnroe,A,Hard,90s,18.0,10.0,0.6428571428571429,L,USA,15.0,0.7530412759899108
39,100581,John McEnroe,G,Clay,90s,0.0,2.0,0.0,L,USA,15.0,0.0
40,100581,John McEnroe,G,Grass,90s,8.0,2.0,0.8,L,USA,17.0,0.6433964388337124
41,100581,John McEnroe,G,Hard,90s,9.0,3.0,0.75,L,USA,17.0,0.6452061709206017
42,100581,John McEnroe,M,Carpet,90s,2.0,2.0,0.5,L,USA,22.0,0.2508832850856895
43,100581,John McEnroe,M,Clay,90s,1.0,1.0,0.5,L,USA,36.0,0.15023503499886107
44,100581,John McEnroe,M,Hard,90s,6.0,4.0,0.6,L,USA,16.0,0.49112026887508986
45,100587,Steve Guy,A,Hard,90s,0.0,1.0,0.0,R,NZL,220.0,0.0
47,100607,Eduardo Bengoechea,A,Clay,90s,3.0,3.0,0.5,R,ARG,176.0,0.18761870164128283
48,100619,George Kalovelonis,A,Clay,90s,0.0,3.0,0.0,R,GRE,1109.0,0.0
49,100628,Michiel Schapers,A,Carpet,90s,3.0,8.0,0.2727272727272727,R,NED,62.0,0.16251671644970414
50,100628,Michiel Schapers,A,Grass,90s,7.0,5.0,0.5833333333333334,R,NED,55.0,0.3689293971758166
51,100628,Michiel Schapers,A,Hard,90s,10.0,15.0,0.4,R,NED,57.0,0.3186684373776995
52,100628,Michiel Schapers,G,Clay,90s,2.0,1.0,0.6666666666666666,R,NED,60.0,0.2233084641092738
53,100628,Michiel Schapers,G,Grass,90s,0.0,1.0,0.0,R,NED,72.0,0.0
54,100628,Michiel Schapers,G,Hard,90s,4.0,5.0,0.4444444444444444,R,NED,72.0,0.2372360779049739
