player_name,tourney_level,surface,decade,matches_won,matches_lost,hand,ioc,win_rate,avg_rank,score
Abigail Spears,CC,Grass,00s,1.0,2.0,R,USA,0.3333333333333333,535.0,0.07349666214711266
Abigail Spears,G,Clay,00s,0.0,1.0,R,USA,0.0,68.0,0.0
Abigail Spears,G,Grass,00s,0.0,1.0,R,USA,0.0,72.0,0.0
Abigail Spears,G,Hard,00s,2.0,3.0,R,USA,0.4,102.6,0.15389860107176376
Abigail Spears,I,Grass,10s,0.0,1.0,R,USA,0.0,466.0,0.0
Abigail Spears,I,Hard,00s,1.0,1.0,R,USA,0.5,218.0,0.1017820327767411
Abigail Spears,P,Clay,00s,0.0,1.0,R,USA,0.0,194.0,0.0
Abigail Spears,P,Clay,10s,1.0,1.0,R,USA,0.5,396.0,0.09173058504108045
Abigail Spears,T1,Hard,00s,2.0,3.0,R,USA,0.4,79.2,0.16267566524226182
Abigail Spears,T2,Hard,00s,1.0,4.0,R,USA,0.2,149.6,0.07130001382810763
Abigail Spears,T3,Carpet,00s,0.0,1.0,R,USA,0.0,285.0,0.0
Abigail Spears,T3,Grass,00s,0.0,2.0,R,USA,0.0,102.0,0.0
Abigail Spears,T3,Hard,00s,10.0,14.0,R,USA,0.4166666666666667,154.83333333333334,0.2650718777343136
Abigail Spears,T4,Hard,00s,3.0,5.0,R,USA,0.375,144.375,0.1650867888169532
Abigail Spears,T5,Clay,00s,0.0,1.0,R,USA,0.0,151.0,0.0
Abigail Spears,T5,Hard,00s,1.0,2.0,R,USA,0.3333333333333333,113.66666666666667,0.09714263653264403
Abigail Tere Apisah,D,Hard,10s,9.0,4.0,U,PNG,0.6923076923076923,493.75,0.2943268500266642
Abigail Tordoff,G,Grass,90s,0.0,1.0,R,GBR,0.0,272.0,0.0
Adriana Barna,T4,Hard,00s,1.0,2.0,R,GER,0.3333333333333333,234.0,0.08452698838515305
Adriana Barna,W,Clay,90s,0.0,3.0,R,GER,0.0,341.6666666666667,0.0
Adriana Basaric,D,Clay,00s,0.0,1.0,U,BIH,0.0,715.0,0.0
Adriana Basaric,D,Clay,90s,3.0,1.0,U,BIH,0.75,480.0,0.19533804996717016
Adriana Gersi,D,Carpet,90s,0.0,2.0,R,CZE,0.0,82.0,0.0
Adriana Gersi,D,Clay,90s,0.0,1.0,R,CZE,0.0,51.0,0.0
Adriana Gersi,D,Hard,90s,2.0,0.0,R,CZE,1.0,63.0,0.26248824169345
Adriana Gersi,G,Clay,00s,1.0,3.0,R,CZE,0.25,78.75,0.09144089347583859
Adriana Gersi,G,Clay,90s,2.0,3.0,R,CZE,0.4,91.8,0.15755910292557662
Adriana Gersi,G,Grass,00s,0.0,3.0,R,CZE,0.0,85.0,0.0
Adriana Gersi,G,Grass,90s,0.0,2.0,R,CZE,0.0,56.0,0.0
Adriana Gersi,G,Hard,00s,4.0,6.0,R,CZE,0.4,83.1,0.21543308984550258
Adriana Gersi,G,Hard,90s,4.0,6.0,R,CZE,0.4,84.4,0.21470804440238597
Adriana Gersi,O,Hard,00s,0.0,1.0,R,CZE,0.0,67.0,0.0
Adriana Gersi,T1,Hard,00s,3.0,5.0,R,CZE,0.375,74.125,0.18977504270230125
Adriana Gersi,T2,Hard,00s,0.0,2.0,R,CZE,0.0,75.5,0.0
Adriana Gersi,T3,Clay,00s,4.0,7.0,R,CZE,0.36363636363636365,81.27272727272727,0.20394078315552308
Adriana Gersi,T3,Grass,00s,0.0,1.0,R,CZE,0.0,66.0,0.0
Adriana Gersi,T3,Hard,00s,3.0,3.0,R,CZE,0.5,74.33333333333333,0.22395225134518884
Adriana Gersi,T4,Clay,00s,8.0,5.0,R,CZE,0.6153846153846154,85.84615384615384,0.3622062756607361
Adriana Gersi,T4,Hard,00s,1.0,2.0,R,CZE,0.3333333333333333,67.33333333333333,0.10874861257501389
Adriana Gersi,T5,Clay,00s,2.0,2.0,R,CZE,0.5,81.0,0.18175645480982855
Adriana Gersi,T5,Hard,00s,0.0,2.0,R,CZE,0.0,74.5,0.0
Adriana Gersi,W,Carpet,90s,3.0,5.0,R,CZE,0.375,79.25,0.18699434090785066
Adriana Gersi,W,Clay,90s,11.0,16.0,R,CZE,0.4074074074074074,89.92592592592592,0.29976480802012584
