winner_name,tourney_year,tourney_level,round,match_count,best_rank,titles
Abigail Guthrie,2013,D,RR,2,,0
Abigail Spears,2001,CC,R32,1,535.0,0
Abigail Spears,2004,T3,SF,1,122.0,0
Abigail Spears,2004,T4,QF,1,122.0,0
Abigail Spears,2005,G,R64,1,70.0,0
Abigail Spears,2005,T1,R128,2,70.0,0
Abigail Spears,2005,T3,R32,1,70.0,0
Abigail Spears,2005,T5,R32,1,70.0,0
Abigail Spears,2006,T3,R32,3,181.0,0
Abigail Spears,2007,T2,R32,1,138.0,0
Abigail Spears,2007,T3,R32,2,138.0,0
Abigail Spears,2009,I,R32,1,218.0,0
Abigail Spears,2011,P,R32,1,396.0,0
Abigail Tere Apisah,2015,D,RR,1,,0
Abigail Tere Apisah,2016,D,RR,3,935.0,0
Abigail Tere Apisah,2017,D,RR,2,365.0,0
Abigail Tere Apisah,2018,D,RR,3,333.0,0
Adelina Lachinova,2023,D,RR,1,,0
Adriana Barna,2002,T4,R32,1,239.0,0
Adriana Basaric,1999,D,RR,3,480.0,0
Adriana Gersi,1996,W,R32,1,107.0,0
Adriana Gersi,1996,W,QF,1,107.0,0
Adriana Gersi,1997,D,RR,1,55.0,0
Adriana Gersi,1997,G,R128,1,55.0,0
Adriana Gersi,1997,W,R64,2,55.0,0
Adriana Gersi,1997,W,R32,2,55.0,0
Adriana Gersi,1998,G,R128,1,67.0,0
Adriana Gersi,1998,G,R64,1,67.0,0
Adriana Gersi,1998,W,R32,6,67.0,0
Adriana Gersi,1999,G,R128,2,76.0,0
Adriana Gersi,1999,W,R32,2,76.0,0
Adriana Gersi,1999,W,R16,1,76.0,0
Adriana Gersi,1999,W,QF,1,76.0,0
Adriana Gersi,2000,G,R128,2,62.0,0
Adriana Gersi,2000,G,R64,1,62.0,0
Adriana Gersi,2000,T1,R64,1,62.0,0
Adriana Gersi,2000,T3,QF,1,62.0,0
Adriana Gersi,2000,T4,R32,3,62.0,0
Adriana Gersi,2001,G,R128,1,59.0,0
Adriana Gersi,2001,T1,R128,1,59.0,0
Adriana Gersi,2001,T3,R32,1,59.0,0
Adriana Gersi,2001,T3,QF,1,59.0,0
Adriana Gersi,2001,T4,F,1,59.0,1
Adriana Gersi,2001,T5,R32,2,59.0,0
Adriana Gersi,2002,T4,R32,1,102.0,0
Adriana Pereira,2006,D,RR,1,,0
Adriana Pereira,2007,D,RR,2,,0
Adriana Pereira,2008,D,RR,2,,0
Adriana Perez,2011,D,RR,4,515.0,0
Adriana Perez,2014,D,RR,2,191.0,0
Adriana Perez,2017,D,RR,3,,0
Adriana Serra Zanetti,1991,W,R32,1,531.0,0
Adriana Serra Zanetti,1993,W,R32,2,228.0,0
Adriana Serra Zanetti,1994,W,R32,1,112.0,0
Adriana Serra Zanetti,1994,W,R16,1,112.0,0
Adriana Serra Zanetti,1995,D,RR,1,94.0,0
Adriana Serra Zanetti,1995,G,R32,1,94.0,0
