,player_id,player_name,tourney_level,surface,decade,matches_won,matches_lost,win_rate,hand,ioc,avg_rank,score
0,100282,Guillermo Vilas,A,Clay,90s,0.0,2.0,0.0,L,ARG,427.0,0.0
1,100284,Jimmy Connors,A,Carpet,90s,0.0,5.0,0.0,L,USA,443.2,0.0
2,100284,Jimmy Connors,A,Clay,90s,3.0,6.0,0.3333333333333333,L,USA,362.77777777777777,0.13006187658751123
4,100284,Jimmy Connors,A,Hard,90s,22.0,17.0,0.5641025641025641,L,USA,142.28205128205127,0.4181267284658079
5,100284,Jimmy Connors,G,Clay,90s,2.0,2.0,0.5,L,USA,252.5,0.14520058648794396
6,100284,Jimmy Connors,G,Grass,90s,2.0,2.0,0.5,L,USA,175.25,0.15530301963102747
7,100284,Jimmy Connors,G,Hard,90s,6.0,2.0,0.75,L,USA,138.75,0.33277328289243946
8,100284,Jimmy Connors,M,Carpet,90s,2.0,2.0,0.5,L,USA,50.5,0.20247548187708334
9,100284,Jimmy Connors,M,Hard,90s,3.0,4.0,0.42857142857142855,L,USA,315.42857142857144,0.15465287799783115
10,100286,Harold Solomon,M,Hard,90s,0.0,1.0,0.0,R,USA,1029.0,0.0
12,100431,Mansour Bahrami,A,Clay,90s,0.0,1.0,0.0,R,IRI,1083.0,0.0
13,100431,Mansour Bahrami,A,Hard,90s,0.0,1.0,0.0,R,IRI,1047.0,0.0
14,100437,Bjorn Borg,A,Carpet,90s,0.0,2.0,0.0,R,SWE,955.0,0.0
15,100437,Bjorn Borg,A,Clay,90s,0.0,3.0,0.0,R,SWE,1033.0,0.0
16,100437,Bjorn Borg,A,Hard,90s,0.0,5.0,0.0,R,SWE,868.2,0.0
17,100437,Bjorn Borg,M,Clay,90s,0.0,2.0,0.0,R,SWE,1094.0,0.0
18,100529,Kevin Curren,A,Carpet,90s,9.0,7.0,0.5625,R,USA,64.25,0.3790674242850033
19,100529,Kevin Curren,A,Clay,90s,0.0,1.0,0.0,R,USA,78.0,0.0
20,100529,Kevin Curren,A,Grass,90s,2.0,3.0,0.4,R,USA,76.6,0.16387536903398645
21,100529,Kevin Curren,A,Hard,90s,11.0,16.0,0.4074074074074074,R,USA,83.14814814814815,0.30487939052361757
22,100529,Kevin Curren,G,Clay,90s,1.0,1.0,0.5,R,USA,92.0,0.12070256336439827
23,100529,Kevin Curren,G,Grass,90s,1.0,2.0,0.3333333333333333,R,USA,68.0,0.10850674455608146
24,100529,Kevin Curren,G,Hard,90s,1.0,2.0,0.3333333333333333,R,USA,76.33333333333333,0.10574083318405054
25,100529,Kevin Curren,M,Hard,90s,5.0,6.0,0.45454545454545453,R,USA,75.36363636363636,0.25919357861312603
26,100532,Johan Kriek,A,Carpet,90s,2.0,2.0,0.5,R,USA,477.25,0.13034587790247737
27,100532,Johan Kriek,A,Grass,90s,1.0,2.0,0.3333333333333333,R,USA,807.3333333333334,0.06899975520401058
28,100532,Johan Kriek,A,Hard,90s,0.0,2.0,0.0,R,USA,398.0,0.0
29,100532,Johan Kriek,G,Grass,90s,0.0,1.0,0.0,R,USA,1045.0,0.0
30,100532,Johan Kriek,M,Hard,90s,0.0,1.0,0.0,R,USA,537.0,0.0
31,100536,Fernando Luna,A,Clay,90s,0.0,2.0,0.0,R,ESP,175.0,0.0
32,100536,Fernando Luna,G,Hard,90s,0.0,1.0,0.0,R,ESP,111.0,0.0
33,100553,Nduka Odizor,A,Carpet,90s,0.0,2.0,0.0,R,NGR,377.0,0.0
34,100553,Nduka Odizor,A,Hard,90s,0.0,1.0,0.0,R,NGR,557.0,0.0
35,100581,John McEnroe,A,Carpet,90s,16.0,9.0,0.64,L,USA,21.166666666666668,0.6571126687984435
36,100581,John McEnroe,A,Clay,90s,1.0,2.0,0.3333333333333333,L,USA,28.666666666666668,0.13408417963206895
37,100581,John McEnroe,A,Grass,90s,3.0,2.0,0.6,L,USA,31.4,0.3045627287423261
38,100581,John McEnroe,A,Hard,90s,18.0,10.0,0.6428571428571429,L,USA,20.107142857142858,0.6920641502457682
39,100581,John McEnroe,G,Clay,90s,0.0,2.0,0.0,L,USA,25.5,0.0
40,100581,John McEnroe,G,Grass,90s,8.0,2.0,0.8,L,USA,24.8,0.5787036770907369
41,100581,John McEnroe,G,Hard,90s,9.0,3.0,0.75,L,USA,21.916666666666668,0.6003783683154248
42,100581,John McEnroe,M,Carpet,90s,2.0,2.0,0.5,L,USA,24.5,0.24356719823535106
43,100581,John McEnroe,M,Clay,90s,1.0,1.0,0.5,L,USA,36.0,0.15023503499886107
44,100581,John McEnroe,M,Hard,90s,6.0,4.0,0.6,L,USA,22.0,0.44854803432927093
45,100587,Steve Guy,A,Hard,90s,0.0,1.0,0.0,R,NZL,220.0,0.0
47,100607,Eduardo Bengoechea,A,Clay,90s,3.0,3.0,0.5,R,ARG,204.0,0.18249670602439186
48,100619,George Kalovelonis,A,Clay,90s,0.0,3.0,0.0,R,GRE,1169.5,0.0
49,100628,Michiel Schapers,A,Carpet,90s,3.0,8.0,0.2727272727272727,R,NED,90.0,0.14961739452206668
50,100628,Michiel Schapers,A,Grass,90s,7.0,5.0,0.5833333333333334,R,NED,140.58333333333334,0.3013565040034638
51,100628,Michiel Schapers,A,Hard,90s,10.0,15.0,0.4,R,NED,94.2,0.2849313900887687
52,100628,Michiel Schapers,G,Clay,90s,2.0,1.0,0.6666666666666666,R,NED,60.0,0.2233084641092738
53,100628,Michiel Schapers,G,Grass,90s,0.0,1.0,0.0,R,NED,72.0,0.0
54,100628,Michiel Schapers,G,Hard,90s,4.0,5.0,0.4444444444444444,R,NED,114.77777777777777,0.21470504412962027
55,100628,Michiel Schapers,M,Clay,90s,0.0,2.0,0.0,R,NED,59.0,0.0
56,100628,Michiel Schapers,M,Hard,90s,0.0,2.0,0.0,R,NED,66.0,0.0
