winner_name,surface,ace_pct,1stIn_pct,1stWon_pct,2ndWon_pct,df_pct,bpSaved_pct
Abigail Guthrie,Hard,,,,,,
Abigail Spears,Clay,3.571428571428571,62.5,74.28571428571429,38.88888888888889,5.357142857142857,33.33333333333333
Abigail Spears,Grass,,,,,,
Abigail Spears,Hard,3.9653487750958973,60.47510243475449,68.3351043766789,67.4020997685594,6.615450477510744,56.71550671550671
Abigail Tere Apisah,Hard,1.4630470129872921,56.638125707840324,67.93917307752447,60.40566102606544,6.502271590092809,62.414529914529915
Adelina Lachinova,Clay,,,,,,
Adriana Barna,Hard,,,,,,
Adriana Basaric,Clay,,,,,,
Adriana Gersi,Carpet,,,,,,
Adriana Gersi,Clay,,,,,,
Adriana Gersi,Grass,,,,,,
Adriana Gersi,Hard,,,,,,
Adriana Pereira,Clay,,,,,,
Adriana Pereira,Hard,,,,,,
Adriana Perez,Clay,,,,,,
Adriana Perez,Hard,4.502442002442002,62.40842490842491,69.61519961519961,59.0624780378101,5.402930402930402,73.07692307692308
Adriana Serra Zanetti,Carpet,,,,,,
Adriana Serra Zanetti,Clay,,,,,,
Adriana Serra Zanetti,Grass,,,,,,
Adriana Serra Zanetti,Hard,,,,,,
Adriana Thaggard,Hard,,,,,,
Adrienn Hegedus,Grass,,,,,,
Adrienn Hegedus,Hard,,,,,,
Adrienn Nagy,Hard,3.8095238095238098,60.0,55.55555555555556,60.526315789473685,3.8095238095238098,64.28571428571429
Adrijana Lekaj,Clay,,,,,,
Agnes Bukta,Clay,1.8867924528301887,68.86792452830188,53.42465753424658,60.86956521739131,9.433962264150944,41.66666666666667
Agnes Bukta,Hard,1.9230769230769231,71.15384615384616,64.86486486486487,83.33333333333334,5.769230769230769,75.0
Agnes Gee,Hard,,,,,,
Agnes Szatmari,Hard,0.0,57.692307692307686,70.0,76.47058823529412,9.615384615384617,66.66666666666666
Agnes Szavay,Carpet,4.140183818171718,65.08945418633489,71.60069779480165,48.58363858363858,5.335384503207293,56.92279942279942
Agnes Szavay,Clay,2.3255740553642807,68.02846159566896,65.33291623500912,59.82687124891758,4.612884903147717,52.66967111479307
Agnes Szavay,Grass,4.896892967713401,60.136462479728735,69.34697357203751,65.04761904761905,7.112726669615215,64.0
Agnes Szavay,Hard,4.105806119602851,61.935258339012414,69.83543533938082,57.075545609539546,5.258754658884229,60.82481982692067
Agnes Zugasti,Grass,,,,,,
Agnese Gustmane,Clay,,,,,,
Agnese Gustmane,Hard,,,,,,
Agnieszka Radwanska,Carpet,4.879953152449737,74.077688854187,65.06410256410257,43.401759530791786,0.0,62.5
Agnieszka Radwanska,Clay,3.801515668716707,65.07982701885628,69.98109699759968,54.7854691396555,1.5894175849674614,64.63950923628343
Agnieszka Radwanska,Grass,4.411649186694102,70.274595379046,69.50625095348059,55.59750011339149,1.4216758752104615,62.52019557823129
Agnieszka Radwanska,Hard,3.6950683975918235,64.28576889473425,68.19126772233126,55.803600190412645,2.073189225330735,56.9269711566303
Agustine Limanto,Hard,,,,,,
Ahsha Rolle,Clay,,,,,,
Ahsha Rolle,Grass,18.91025641025641,58.04195804195804,78.125,60.924369747899156,9.702797202797202,62.5
Ahsha Rolle,Hard,9.039853822111683,59.63351670898026,71.28789766641428,59.61823651356172,4.230134380547544,53.33694083694083
Ai Sugiyama,Carpet,3.709016393442623,55.368852459016395,63.03475935828877,57.47126436781609,6.834016393442623,56.25
Ai Sugiyama,Clay,1.9439944137529899,64.29190880478536,65.42598266821092,54.46525404420141,7.368040314896849,60.67791005291005
Ai Sugiyama,Grass,1.9751518504436973,66.90633406825313,66.26714395318659,59.32276071583912,4.405489313854386,55.58608241174031
Ai Sugiyama,Hard,1.7062344126792477,64.56814982065383,66.1057440945871,58.675876560478414,6.829044688198291,61.328089836475634
Aicha Ferjani,Hard,,,,,,
Aida Khalatian,Clay,,,,,,
Aiko Nakamura,Carpet,,,,,,
Aiko Nakamura,Clay,0.8333333333333334,63.09676434676434,58.7616616455473,47.177460220938485,4.343711843711843,60.77020202020202
Aiko Nakamura,Grass,2.6957810221042595,63.75163510703114,73.35178571428571,57.68478260869565,3.8563495266738586,67.04761904761905
Aiko Nakamura,Hard,2.6309690710124203,63.53816654616424,62.85307258242991,58.80448487471899,3.8324894539964394,54.46428571428571
Aina Rafolomanantsiatosika,Clay,,,,,,
Ainhoa Goni Blanco,Clay,,,,,,
Ajla Tomljanovic,Clay,4.564460574695433,60.98506405357578,70.08088813408929,56.361572261545355,5.844577056198377,53.41579559071819
Ajla Tomljanovic,Grass,7.082784290262595,61.98078965150814,73.47807329612773,58.217403403058505,6.097175846943186,54.90021645021645
Ajla Tomljanovic,Hard,5.293387014232883,59.60722087502975,69.04837595131686,55.45500713134636,5.767032021855807,54.84742447888435
Akgul Amanmuradova,Clay,8.582207429001063,63.200872556537796,72.22805348169321,53.47848182205417,1.688868265221297,64.20351473922902
Akgul Amanmuradova,Hard,9.15705300631341,65.57849229308624,70.53749824415802,60.407047983875295,3.011273061079408,66.79761904761905
Akiko Gunji,Hard,,,,,,
Akiko Kijimuta,Carpet,,,,,,
Akiko Kijimuta,Clay,,,,,,
Akiko Kijimuta,Grass,,,,,,
Akiko Kijimuta,Hard,,,,,,
Akiko Kinebuchi,Hard,,,,,,
Akiko Morigami,Carpet,,,,,,
Akiko Morigami,Clay,3.4239842533224776,63.113052958892524,65.4152975125244,52.177109122761294,4.997708987491662,56.97278911564626
Akiko Morigami,Grass,2.793033945733027,59.449926215517316,69.07747451812885,59.243966796243285,5.152173854650996,60.31746031746032
Akiko Morigami,Hard,3.121415352525852,64.06780915503228,67.77958209333359,56.21749311488091,4.1319807296549325,57.064407814407815
Akvile Parazinskaite,Clay,,,,,,
Akvile Parazinskaite,Hard,,,,,,
Alanna Broderick,Clay,,,,,,
Alanna Broderick,Hard,,,,,,
Alberta Brianti,Clay,1.0656932831149466,63.45179516215934,64.00020942862689,57.1611488588583,3.4819716639073652,67.72323886819684
