winner_name,matches_won,matches_lost,total,career_start,career_end,hand,height,A_titles,F_titles,G_titles,M_titles,O_titles
Aaron Krickstein,134,109,243,1991,1995,R,183.0,2.0,0.0,0.0,0.0,0.0
Abd Hazli Bin Zainuddin,1,3,4,2010,2010,R,,0.0,0.0,0.0,0.0,0.0
Abdelhak Hameurlaine,3,11,14,1991,2006,R,,0.0,0.0,0.0,0.0,0.0
Abdullah Maqdas,11,8,19,2005,2015,R,,0.0,0.0,0.0,0.0,0.0
Abedallah Shelbayh,3,11,14,2023,2023,L,180.0,0.0,0.0,0.0,0.0,0.0
Abou Berthe,1,7,8,1993,1993,U,,0.0,0.0,0.0,0.0,0.0
Adam Chadaj,3,1,4,2005,2005,L,178.0,0.0,0.0,0.0,0.0,0.0
Adam Kellner,6,7,13,2007,2012,R,,0.0,0.0,0.0,0.0,0.0
Adam Malik,11,5,16,1991,1995,R,193.0,0.0,0.0,0.0,0.0,0.0
Adam Moundir,1,3,4,2020,2020,R,191.0,0.0,0.0,0.0,0.0,0.0
Adam Pavlasek,6,9,15,2016,2018,R,185.0,0.0,0.0,0.0,0.0,0.0
Adam Skrzypczak,3,2,5,1996,1996,R,,0.0,0.0,0.0,0.0,0.0
Adam Thompson,3,2,5,2006,2009,R,,0.0,0.0,0.0,0.0,0.0
Adam Walton,3,11,14,2024,2024,R,183.0,0.0,0.0,0.0,0.0,0.0
Adelo Abadia,2,5,7,2002,2004,U,,0.0,0.0,0.0,0.0,0.0
Aditya Hari Sasongko,3,7,10,2008,2015,U,,0.0,0.0,0.0,0.0,0.0
Adolfo Daniel Vallejo,2,2,4,2020,2020,R,183.0,0.0,0.0,0.0,0.0,0.0
Adria Soriano Barrera,1,2,3,2024,2024,R,191.0,0.0,0.0,0.0,0.0,0.0
Adrian Andreev,2,7,9,2021,2021,R,175.0,0.0,0.0,0.0,0.0,0.0
Adrian Cruciat,1,2,3,2008,2008,R,185.0,0.0,0.0,0.0,0.0,0.0
Adrian Garcia,13,28,41,2000,2005,R,175.0,0.0,0.0,0.0,0.0,0.0
Adrian Graimprey,3,5,8,1995,1995,R,,0.0,0.0,0.0,0.0,0.0
Adrian Mannarino,304,344,648,2008,2024,L,183.0,5.0,0.0,0.0,0.0,0.0
Adrian Marcu,3,3,6,1991,1992,R,190.0,0.0,0.0,0.0,0.0,0.0
Adrian Menendez Maceiras,6,18,24,2015,2019,R,185.0,0.0,0.0,0.0,0.0,0.0
Adrian Ungur,18,42,60,2010,2018,R,178.0,0.0,0.0,0.0,0.0,0.0
Adrian Voinea,136,176,312,1994,2003,R,185.0,1.0,0.0,0.0,0.0,0.0
Adrians Zguns,1,2,3,2009,2009,R,,0.0,0.0,0.0,0.0,0.0
Agustin Calleri,210,189,399,1999,2009,R,183.0,3.0,0.0,0.0,0.0,0.0
Agustin Garizzio,1,1,2,1994,1994,R,185.0,0.0,0.0,0.0,0.0,0.0
Agustin Moreno,1,3,4,1993,1993,R,180.0,0.0,0.0,0.0,0.0,0.0
Ahmad Rabeea Muhammad,4,10,14,2006,2007,R,,0.0,0.0,0.0,0.0,0.0
Ainius Sabaliauskas,1,1,2,2022,2022,L,,0.0,0.0,0.0,0.0,0.0
Aisam Ul Haq Qureshi,41,34,75,1998,2023,R,183.0,0.0,0.0,0.0,0.0,0.0
Aivaras Balzekas,1,3,4,2000,2000,U,,0.0,0.0,0.0,0.0,0.0
Ajeet Rai,1,6,7,2019,2019,R,188.0,0.0,0.0,0.0,0.0,0.0
Aki Rahunen,10,20,30,1991,1992,R,175.0,0.0,0.0,0.0,0.0,0.0
Akira Santillan,2,7,9,2017,2017,R,180.0,0.0,0.0,0.0,0.0,0.0
Alaaddin Karagoz,2,2,4,1991,1991,R,,0.0,0.0,0.0,0.0,0.0
