winner_name,matches_won,matches_lost,total,career_start,career_end,hand,height,CC_titles,D_titles,F_titles,G_titles,I_titles,O_titles,P_titles,PM_titles,T1_titles,T2_titles,T3_titles,T4_titles,T5_titles,W_titles
Abigail Spears,22,43,65,2001,2011,R,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abigail Tere Apisah,9,4,13,2015,2018,U,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adriana Barna,1,5,6,2002,2002,R,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adriana Basaric,3,2,5,1999,1999,U,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adriana Gersi,56,94,150,1996,2002,R,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Adriana Pereira,5,4,9,2006,2008,R,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adriana Perez,9,7,16,2011,2017,R,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adriana Serra Zanetti,64,121,185,1991,2004,R,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adriana Thaggard,1,8,9,2001,2001,U,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrienn Hegedus,2,3,5,1998,2001,U,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrijana Lekaj,2,3,5,2023,2023,R,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
