winner_name,surface,tourney_level,tourney_name,count
Abigail Guthrie,Hard,D,Other,2
Abigail Spears,Clay,P,Other,1
Abigail Spears,Grass,CC,Other,1
Abigail Spears,Hard,G,Other,2
Abigail Spears,Hard,I,Other,1
Abigail Spears,Hard,T1,Other,2
Abigail Spears,Hard,T2,Other,1
Abigail Spears,Hard,T3,Other,5
Abigail Spears,Hard,T3,Quebec City,5
Abigail Spears,Hard,T4,Other,3
Abigail Spears,Hard,T5,Other,1
Abigail Tere Apisah,Hard,D,Other,9
Adelina Lachinova,Clay,D,Other,1
Adriana Barna,Hard,T4,Other,1
Adriana Basaric,Clay,D,Other,3
Adriana Gersi,Carpet,W,Other,3
Adriana Gersi,Clay,G,Other,3
Adriana Gersi,Clay,T3,Other,4
Adriana Gersi,Clay,T4,Basle,5
Adriana Gersi,Clay,T4,Other,3
Adriana Gersi,Clay,T5,Other,2
Adriana Gersi,Clay,W,Other,11
Adriana Gersi,Grass,W,Other,1
Adriana Gersi,Hard,D,Other,2
Adriana Gersi,Hard,G,Australian Open,4
Adriana Gersi,Hard,G,US Open,4
Adriana Gersi,Hard,T1,Other,3
Adriana Gersi,Hard,T3,Other,3
Adriana Gersi,Hard,T4,Other,1
Adriana Gersi,Hard,W,Other,7
Adriana Pereira,Clay,D,Other,3
Adriana Pereira,Hard,D,Other,1
Adriana Perez,Clay,D,Other,2
Adriana Perez,Hard,D,Other,7
Adriana Serra Zanetti,Carpet,D,Other,2
Adriana Serra Zanetti,Carpet,T2,Other,1
Adriana Serra Zanetti,Carpet,T3,Other,1
Adriana Serra Zanetti,Carpet,W,Other,3
Adriana Serra Zanetti,Clay,D,Other,5
Adriana Serra Zanetti,Clay,G,Roland Garros,6
Adriana Serra Zanetti,Clay,T1,Other,2
Adriana Serra Zanetti,Clay,T5,Other,1
Adriana Serra Zanetti,Clay,W,Other,8
Adriana Serra Zanetti,Clay,W,Rome,5
Adriana Serra Zanetti,Grass,G,Other,1
Adriana Serra Zanetti,Grass,T3,Other,3
Adriana Serra Zanetti,Hard,G,Australian Open,6
Adriana Serra Zanetti,Hard,T1,Other,1
Adriana Serra Zanetti,Hard,T3,Other,2
Adriana Serra Zanetti,Hard,T4,Other,5
Adriana Serra Zanetti,Hard,T5,Other,7
Adriana Serra Zanetti,Hard,W,Other,5
Adriana Thaggard,Hard,D,Other,1
Adrienn Hegedus,Grass,CC,Other,1
Adrienn Hegedus,Hard,T4,Other,1
Adrienn Nagy,Hard,D,Other,1
Adrijana Lekaj,Clay,D,Other,2
Agnes Bukta,Clay,I,Other,1
Agnes Bukta,Hard,D,Other,1
Agnes Gee,Hard,D,Other,3
Agnes Szatmari,Hard,T2,Other,1
Agnes Szavay,Carpet,D,Other,3
Agnes Szavay,Carpet,P,Other,2
Agnes Szavay,Carpet,T2,Paris,4
Agnes Szavay,Clay,D,Other,3
Agnes Szavay,Clay,G,Roland Garros,7
Agnes Szavay,Clay,I,Acapulco,4
