winner_name,tourney_year,tourney_level,round,match_count,best_rank,titles
Aaron Krickstein,1991,A,RR,1,20.0,0
Aaron Krickstein,1991,A,R64,1,20.0,0
Aaron Krickstein,1991,A,R32,2,20.0,0
Aaron Krickstein,1991,A,R16,3,20.0,0
Aaron Krickstein,1991,A,SF,1,20.0,0
Aaron Krickstein,1991,G,R128,2,20.0,0
Aaron Krickstein,1991,G,R32,2,20.0,0
Aaron Krickstein,1991,M,R64,3,20.0,0
Aaron Krickstein,1991,M,QF,1,20.0,0
Aaron Krickstein,1992,A,R32,2,14.0,0
Aaron Krickstein,1992,A,R16,4,14.0,0
Aaron Krickstein,1992,A,QF,1,14.0,0
Aaron Krickstein,1992,A,F,1,14.0,1
Aaron Krickstein,1992,G,R64,1,14.0,0
Aaron Krickstein,1992,G,R32,1,14.0,0
Aaron Krickstein,1992,M,R16,1,14.0,0
Aaron Krickstein,1992,M,SF,1,14.0,0
Aaron Krickstein,1993,A,R32,1,44.0,0
Aaron Krickstein,1993,A,R16,1,44.0,0
Aaron Krickstein,1993,A,QF,2,44.0,0
Aaron Krickstein,1993,A,F,1,44.0,1
Aaron Krickstein,1993,G,R128,2,44.0,0
Aaron Krickstein,1993,G,R64,1,44.0,0
Aaron Krickstein,1993,M,R128,1,44.0,0
Aaron Krickstein,1993,M,R64,2,44.0,0
Aaron Krickstein,1993,M,R32,2,44.0,0
Aaron Krickstein,1994,A,R64,1,23.0,0
Aaron Krickstein,1994,A,R32,6,23.0,0
Aaron Krickstein,1994,A,R16,4,23.0,0
Aaron Krickstein,1994,G,R64,2,23.0,0
Aaron Krickstein,1994,G,R32,1,23.0,0
Aaron Krickstein,1994,M,R64,2,23.0,0
Aaron Krickstein,1994,M,R32,1,23.0,0
Aaron Krickstein,1994,M,QF,1,23.0,0
Aaron Krickstein,1995,A,R64,1,24.0,0
Aaron Krickstein,1995,A,R32,4,24.0,0
Aaron Krickstein,1995,G,R128,1,24.0,0
Aaron Krickstein,1995,G,R32,1,24.0,0
Aaron Krickstein,1995,G,QF,1,24.0,0
Aaron Krickstein,1995,M,R64,2,24.0,0
Abd Hazli Bin Zainuddin,2010,D,RR,1,,0
Abdelhak Hameurlaine,1991,D,RR,1,1021.0,0
Abdelhak Hameurlaine,1993,D,RR,1,,0
Abdelhak Hameurlaine,2006,D,RR,1,1048.0,0
Abdullah Maqdas,2005,D,RR,2,1478.0,0
Abdullah Maqdas,2006,D,RR,1,951.0,0
Abdullah Maqdas,2008,D,RR,1,980.0,0
Abdullah Maqdas,2013,D,RR,1,500.0,0
Abdullah Maqdas,2014,D,RR,1,781.0,0
Abdullah Maqdas,2015,D,RR,1,1695.0,0
Abedallah Shelbayh,2023,A,R32,2,185.0,0
Abedallah Shelbayh,2023,F,RR,1,185.0,0
Abou Berthe,1993,D,RR,1,,0
Adam Chadaj,2005,A,R32,1,230.0,0
Adam Chadaj,2005,D,RR,1,230.0,0
Adam Kellner,2007,D,RR,1,1261.0,0
Adam Kellner,2009,D,RR,1,586.0,0
Adam Kellner,2010,D,RR,1,321.0,0
Adam Kellner,2011,D,RR,2,249.0,0
Adam Kellner,2012,D,RR,1,346.0,0
Adam Malik,1991,D,RR,1,468.0,0
Adam Malik,1992,D,RR,2,468.0,0
Adam Malik,1994,A,R16,1,844.0,0
Adam Malik,1994,D,RR,2,844.0,0
Adam Malik,1995,D,RR,1,438.0,0
Adam Moundir,2020,D,RR,1,458.0,0
Adam Pavlasek,2016,A,R16,1,116.0,0
Adam Pavlasek,2016,G,R128,1,116.0,0
Adam Pavlasek,2017,G,R128,1,136.0,0
Adam Pavlasek,2018,D,RR,1,185.0,0
Adam Pavlasek,2018,G,R128,1,185.0,0
Adam Skrzypczak,1996,D,RR,2,815.0,0
Adam Thompson,2006,D,RR,1,809.0,0
Adam Thompson,2007,D,RR,1,1279.0,0
Adam Thompson,2009,D,RR,1,830.0,0
Adam Walton,2024,A,R32,2,95.0,0
Adam Walton,2024,G,R128,1,95.0,0
Adelo Abadia,2002,D,RR,1,,0
Adelo Abadia,2004,D,RR,1,,0
Aditya Hari Sasongko,2008,D,RR,1,,0
Aditya Hari Sasongko,2014,D,RR,1,,0
Aditya Hari Sasongko,2015,D,RR,1,,0
Adolfo Daniel Vallejo,2020,D,RR,1,,0
Adria Soriano Barrera,2024,D,RR,1,593.0,0
Adrian Andreev,2021,A,R32,2,423.0,0
Adrian Cruciat,2008,A,R32,1,183.0,0
Adrian Garcia,2000,A,R32,2,288.0,0
Adrian Garcia,2001,D,RR,1,268.0,0
Adrian Garcia,2004,A,R32,4,105.0,0
Adrian Garcia,2004,A,R16,1,105.0,0
Adrian Garcia,2004,D,RR,2,105.0,0
Adrian Garcia,2005,A,R32,1,118.0,0
Adrian Garcia,2005,D,RR,1,118.0,0
Adrian Graimprey,1995,D,RR,2,1224.0,0
Adrian Mannarino,2008,A,QF,1,181.0,0
Adrian Mannarino,2010,A,R32,1,108.0,0
Adrian Mannarino,2010,G,R128,1,108.0,0
Adrian Mannarino,2011,A,R32,3,53.0,0
Adrian Mannarino,2011,A,R16,3,53.0,0
Adrian Mannarino,2011,A,QF,1,53.0,0
Adrian Mannarino,2011,G,R128,2,53.0,0
Adrian Mannarino,2011,M,R64,2,53.0,0
Adrian Mannarino,2012,A,R32,1,87.0,0
Adrian Mannarino,2013,A,R32,1,62.0,0
Adrian Mannarino,2013,A,R16,2,62.0,0
Adrian Mannarino,2013,G,R64,1,62.0,0
Adrian Mannarino,2013,G,R32,1,62.0,0
Adrian Mannarino,2014,A,R64,1,70.0,0
Adrian Mannarino,2014,A,R32,5,70.0,0
Adrian Mannarino,2014,A,R16,1,70.0,0
Adrian Mannarino,2014,G,R128,3,70.0,0
Adrian Mannarino,2014,G,R64,1,70.0,0
Adrian Mannarino,2014,M,R128,1,70.0,0
Adrian Mannarino,2014,M,R64,1,70.0,0
Adrian Mannarino,2015,A,R32,4,31.0,0
Adrian Mannarino,2015,A,R16,3,31.0,0
Adrian Mannarino,2015,A,QF,1,31.0,0
Adrian Mannarino,2015,A,SF,2,31.0,0
Adrian Mannarino,2015,G,R128,3,31.0,0
Adrian Mannarino,2015,M,R32,2,31.0,0
Adrian Mannarino,2016,A,R64,1,49.0,0
Adrian Mannarino,2016,A,R32,7,49.0,0
Adrian Mannarino,2016,A,R16,4,49.0,0
Adrian Mannarino,2016,A,QF,1,49.0,0
Adrian Mannarino,2016,G,R128,2,49.0,0
Adrian Mannarino,2016,M,R64,2,49.0,0
Adrian Mannarino,2017,A,R32,2,28.0,0
Adrian Mannarino,2017,A,R16,2,28.0,0
Adrian Mannarino,2017,A,QF,1,28.0,0
Adrian Mannarino,2017,A,SF,2,28.0,0
Adrian Mannarino,2017,G,R64,1,28.0,0
Adrian Mannarino,2017,G,R32,1,28.0,0
Adrian Mannarino,2017,M,R128,1,28.0,0
Adrian Mannarino,2017,M,R64,1,28.0,0
Adrian Mannarino,2017,M,R32,3,28.0,0
Adrian Mannarino,2017,M,R16,1,28.0,0
Adrian Mannarino,2018,A,R32,2,23.0,0
Adrian Mannarino,2018,A,R16,4,23.0,0
Adrian Mannarino,2018,A,QF,1,23.0,0
Adrian Mannarino,2018,A,SF,2,23.0,0
Adrian Mannarino,2018,D,RR,1,23.0,0
Adrian Mannarino,2018,G,R64,1,23.0,0
Adrian Mannarino,2018,G,R32,1,23.0,0
Adrian Mannarino,2018,M,R64,3,23.0,0
Adrian Mannarino,2019,A,R64,1,37.0,0
Adrian Mannarino,2019,A,R32,1,37.0,0
Adrian Mannarino,2019,A,R16,2,37.0,0
Adrian Mannarino,2019,A,SF,2,37.0,0
Adrian Mannarino,2019,A,F,1,37.0,1
Adrian Mannarino,2019,G,R128,1,37.0,0
Adrian Mannarino,2019,M,R128,2,37.0,0
Adrian Mannarino,2019,M,R64,2,37.0,0
Adrian Mannarino,2019,M,R32,2,37.0,0
Adrian Mannarino,2020,A,R32,2,35.0,0
Adrian Mannarino,2020,A,R16,1,35.0,0
Adrian Mannarino,2020,A,QF,1,35.0,0
Adrian Mannarino,2020,A,SF,1,35.0,0
Adrian Mannarino,2020,G,R64,1,35.0,0
Adrian Mannarino,2020,M,R32,1,35.0,0
Adrian Mannarino,2021,A,R64,1,35.0,0
Adrian Mannarino,2021,A,R32,1,35.0,0
Adrian Mannarino,2021,A,R16,2,35.0,0
Adrian Mannarino,2021,A,QF,1,35.0,0
Adrian Mannarino,2021,D,RR,1,35.0,0
Adrian Mannarino,2021,G,R128,1,35.0,0
Adrian Mannarino,2021,G,R64,1,35.0,0
Adrian Mannarino,2021,M,R64,2,35.0,0
Adrian Mannarino,2022,A,R64,1,47.0,0
Adrian Mannarino,2022,A,R32,1,47.0,0
Adrian Mannarino,2022,A,R16,5,47.0,0
Adrian Mannarino,2022,A,QF,1,47.0,0
Adrian Mannarino,2022,A,F,1,47.0,1
Adrian Mannarino,2022,D,RR,2,47.0,0
Adrian Mannarino,2022,G,R128,1,47.0,0
Adrian Mannarino,2022,G,R32,1,47.0,0
Adrian Mannarino,2022,M,R64,1,47.0,0
Adrian Mannarino,2023,A,RR,1,23.0,0
Adrian Mannarino,2023,A,R32,1,23.0,0
Adrian Mannarino,2023,A,R16,5,23.0,0
Adrian Mannarino,2023,A,SF,1,23.0,0
Adrian Mannarino,2023,A,F,3,23.0,3
Adrian Mannarino,2023,D,RR,3,23.0,0
Adrian Mannarino,2023,G,R128,2,23.0,0
Adrian Mannarino,2023,G,R64,1,23.0,0
Adrian Mannarino,2023,M,R64,2,23.0,0
Adrian Mannarino,2023,M,R32,1,23.0,0
Adrian Mannarino,2023,M,R16,1,23.0,0
Adrian Mannarino,2024,A,RR,1,17.0,0
Adrian Mannarino,2024,A,R32,3,17.0,0
Adrian Mannarino,2024,A,R16,1,17.0,0
Adrian Mannarino,2024,A,QF,1,17.0,0
Adrian Mannarino,2024,D,RR,1,17.0,0
