winner_name,tourney_year,tourney_level,round,match_count,best_rank,titles
Adrian Mannarino,2024,G,R128,1,17.0,0
Adrian Mannarino,2024,G,R32,1,17.0,0
Adrian Mannarino,2024,M,R64,1,17.0,0
Adrian Mannarino,2024,M,R32,1,17.0,0
Adrian Marcu,1991,D,RR,1,494.0,0
Adrian Marcu,1992,D,RR,1,573.0,0
Adrian Menendez Maceiras,2015,A,R32,1,116.0,0
Adrian Menendez Maceiras,2017,A,R32,1,140.0,0
Adrian Menendez Maceiras,2017,G,R128,1,140.0,0
Adrian Menendez Maceiras,2018,A,R16,1,128.0,0
Adrian Menendez Maceiras,2019,A,R32,1,139.0,0
Adrian Ungur,2010,A,R32,1,130.0,0
Adrian Ungur,2010,D,RR,1,130.0,0
Adrian Ungur,2011,A,R32,2,131.0,0
Adrian Ungur,2011,D,RR,1,131.0,0
Adrian Ungur,2012,G,R128,1,92.0,0
Adrian Ungur,2013,D,RR,1,103.0,0
Adrian Ungur,2014,A,R32,1,118.0,0
Adrian Ungur,2014,D,RR,1,118.0,0
Adrian Ungur,2015,D,RR,2,159.0,0
Adrian Ungur,2016,A,R32,1,193.0,0
Adrian Ungur,2016,D,RR,1,193.0,0
Adrian Ungur,2017,D,RR,1,313.0,0
Adrian Ungur,2018,D,RR,1,535.0,0
Adrian Voinea,1994,A,R16,1,236.0,0
Adrian Voinea,1995,A,R64,1,55.0,0
Adrian Voinea,1995,A,R32,5,55.0,0
Adrian Voinea,1995,A,R16,1,55.0,0
Adrian Voinea,1995,D,RR,2,55.0,0
Adrian Voinea,1995,G,R128,1,55.0,0
Adrian Voinea,1995,G,R16,1,55.0,0
Adrian Voinea,1996,A,R32,1,37.0,0
Adrian Voinea,1996,A,R16,5,37.0,0
Adrian Voinea,1996,A,QF,2,37.0,0
Adrian Voinea,1996,A,SF,1,37.0,0
Adrian Voinea,1996,D,RR,2,37.0,0
Adrian Voinea,1996,G,R128,1,37.0,0
Adrian Voinea,1996,G,R64,1,37.0,0
Adrian Voinea,1996,M,R64,2,37.0,0
Adrian Voinea,1996,M,R32,1,37.0,0
Adrian Voinea,1997,A,R32,6,45.0,0
Adrian Voinea,1997,A,R16,1,45.0,0
Adrian Voinea,1997,D,RR,1,45.0,0
Adrian Voinea,1997,G,R128,2,45.0,0
Adrian Voinea,1997,M,R128,1,45.0,0
Adrian Voinea,1997,M,R64,1,45.0,0
Adrian Voinea,1998,A,R64,1,75.0,0
Adrian Voinea,1998,A,R32,3,75.0,0
Adrian Voinea,1998,A,R16,1,75.0,0
Adrian Voinea,1998,A,QF,1,75.0,0
Adrian Voinea,1998,G,R64,1,75.0,0
Adrian Voinea,1999,A,R64,1,71.0,0
Adrian Voinea,1999,A,R32,5,71.0,0
Adrian Voinea,1999,A,F,1,71.0,1
Adrian Voinea,1999,D,RR,1,71.0,0
Adrian Voinea,1999,M,R128,1,71.0,0
Adrian Voinea,1999,M,R32,1,71.0,0
Adrian Voinea,2000,A,R32,3,90.0,0
Adrian Voinea,2000,A,R16,1,90.0,0
Adrian Voinea,2000,G,R128,1,90.0,0
Adrian Voinea,2000,G,R64,1,90.0,0
Adrian Voinea,2001,A,R64,3,103.0,0
Adrian Voinea,2001,A,R32,1,103.0,0
Adrian Voinea,2001,A,R16,2,103.0,0
Adrian Voinea,2001,A,QF,1,103.0,0
Adrian Voinea,2001,D,RR,1,103.0,0
Adrian Voinea,2002,A,R64,3,57.0,0
Adrian Voinea,2002,A,R32,4,57.0,0
Adrian Voinea,2002,A,QF,1,57.0,0
Adrian Voinea,2002,D,RR,1,57.0,0
Adrian Voinea,2002,G,R128,1,57.0,0
Adrian Voinea,2002,G,R64,1,57.0,0
Adrian Voinea,2002,G,R32,1,57.0,0
Adrian Voinea,2002,M,R32,2,57.0,0
Adrian Voinea,2003,A,R64,1,59.0,0
Adrian Voinea,2003,A,R32,3,59.0,0
Adrian Voinea,2003,G,R128,1,59.0,0
Adrians Zguns,2009,D,RR,1,707.0,0
Agustin Calleri,1999,A,R16,1,124.0,0
Agustin Calleri,1999,G,R128,1,124.0,0
Agustin Calleri,2000,A,R16,1,71.0,0
Agustin Calleri,2000,A,QF,1,71.0,0
Agustin Calleri,2000,D,RR,2,71.0,0
Agustin Calleri,2000,G,R64,2,71.0,0
Agustin Calleri,2000,M,R128,1,71.0,0
Agustin Calleri,2001,A,R64,1,63.0,0
Agustin Calleri,2001,A,R32,2,63.0,0
Agustin Calleri,2001,A,R16,1,63.0,0
Agustin Calleri,2001,A,QF,1,63.0,0
Agustin Calleri,2001,D,RR,1,63.0,0
Agustin Calleri,2001,G,R128,2,63.0,0
Agustin Calleri,2001,M,R64,1,63.0,0
Agustin Calleri,2002,A,R64,2,44.0,0
Agustin Calleri,2002,A,R32,4,44.0,0
Agustin Calleri,2002,A,R16,1,44.0,0
Agustin Calleri,2002,A,QF,2,44.0,0
Agustin Calleri,2002,A,SF,1,44.0,0
Agustin Calleri,2002,M,R64,1,44.0,0
Agustin Calleri,2002,M,R32,1,44.0,0
Agustin Calleri,2002,M,R16,1,44.0,0
Agustin Calleri,2003,A,R32,3,16.0,0
Agustin Calleri,2003,A,R16,3,16.0,0
Agustin Calleri,2003,A,QF,1,16.0,0
Agustin Calleri,2003,A,SF,1,16.0,0
Agustin Calleri,2003,A,F,1,16.0,1
Agustin Calleri,2003,D,RR,1,16.0,0
Agustin Calleri,2003,G,R128,2,16.0,0
Agustin Calleri,2003,M,R128,1,16.0,0
Agustin Calleri,2003,M,R64,1,16.0,0
Agustin Calleri,2003,M,R32,1,16.0,0
Agustin Calleri,2003,M,SF,1,16.0,0
Agustin Calleri,2004,A,R64,1,20.0,0
Agustin Calleri,2004,A,R32,2,20.0,0
Agustin Calleri,2004,A,R16,1,20.0,0
Agustin Calleri,2004,A,QF,1,20.0,0
Agustin Calleri,2004,A,SF,1,20.0,0
Agustin Calleri,2004,D,RR,1,20.0,0
Agustin Calleri,2004,G,R128,1,20.0,0
Agustin Calleri,2004,M,R32,2,20.0,0
Agustin Calleri,2004,M,R16,1,20.0,0
Agustin Calleri,2005,A,R32,4,56.0,0
Agustin Calleri,2005,A,R16,3,56.0,0
Agustin Calleri,2005,A,QF,1,56.0,0
Agustin Calleri,2005,A,SF,1,56.0,0
Agustin Calleri,2005,D,RR,1,56.0,0
Agustin Calleri,2005,G,R128,1,56.0,0
Agustin Calleri,2005,M,R128,1,56.0,0
Agustin Calleri,2005,M,R64,1,56.0,0
Agustin Calleri,2006,A,R64,1,25.0,0
Agustin Calleri,2006,A,R32,1,25.0,0
Agustin Calleri,2006,A,R16,2,25.0,0
Agustin Calleri,2006,A,QF,3,25.0,0
Agustin Calleri,2006,A,SF,1,25.0,0
Agustin Calleri,2006,A,F,1,25.0,1
Agustin Calleri,2006,D,RR,1,25.0,0
Agustin Calleri,2006,G,R128,1,25.0,0
Agustin Calleri,2006,M,R64,1,25.0,0
Agustin Calleri,2006,M,R16,1,25.0,0
Agustin Calleri,2007,A,R32,2,28.0,0
Agustin Calleri,2007,A,R16,3,28.0,0
Agustin Calleri,2007,A,QF,4,28.0,0
Agustin Calleri,2007,A,F,1,28.0,1
Agustin Calleri,2007,G,R128,1,28.0,0
Agustin Calleri,2007,G,R64,1,28.0,0
Agustin Calleri,2007,M,R64,1,28.0,0
Agustin Calleri,2008,A,R64,2,40.0,0
Agustin Calleri,2008,A,R16,4,40.0,0
Agustin Calleri,2008,A,QF,2,40.0,0
Agustin Calleri,2008,D,RR,1,40.0,0
Agustin Calleri,2008,G,R128,3,40.0,0
Agustin Calleri,2009,A,R32,2,71.0,0
Agustin Calleri,2009,M,R128,1,71.0,0
Agustin Garizzio,1994,G,R128,1,516.0,0
Agustin Moreno,1993,A,R32,1,300.0,0
Ahmad Rabeea Muhammad,2006,D,RR,1,,0
Ahmad Rabeea Muhammad,2007,D,RR,2,,0
Ainius Sabaliauskas,2022,D,RR,1,1783.0,0
Aisam Ul Haq Qureshi,1998,D,RR,1,977.0,0
Aisam Ul Haq Qureshi,1999,D,RR,1,,0
Aisam Ul Haq Qureshi,2000,D,RR,2,289.0,0
Aisam Ul Haq Qureshi,2001,D,RR,2,275.0,0
Aisam Ul Haq Qureshi,2002,D,RR,3,234.0,0
Aisam Ul Haq Qureshi,2003,D,RR,1,486.0,0
Aisam Ul Haq Qureshi,2004,D,RR,1,204.0,0
Aisam Ul Haq Qureshi,2005,D,RR,2,212.0,0
Aisam Ul Haq Qureshi,2006,D,RR,2,416.0,0
Aisam Ul Haq Qureshi,2007,A,R32,1,214.0,0
Aisam Ul Haq Qureshi,2007,A,R16,1,214.0,0
Aisam Ul Haq Qureshi,2007,G,R128,1,214.0,0
Aisam Ul Haq Qureshi,2008,A,R32,1,169.0,0
Aisam Ul Haq Qureshi,2009,D,RR,1,298.0,0
Aisam Ul Haq Qureshi,2010,D,RR,2,625.0,0
Aisam Ul Haq Qureshi,2011,D,RR,1,,0
Aisam Ul Haq Qureshi,2012,D,RR,1,,0
Aisam Ul Haq Qureshi,2013,D,RR,1,,0
Aisam Ul Haq Qureshi,2014,D,RR,1,,0
Aisam Ul Haq Qureshi,2015,D,RR,2,1177.0,0
Aisam Ul Haq Qureshi,2017,D,RR,2,,0
Aisam Ul Haq Qureshi,2018,D,RR,1,,0
Aisam Ul Haq Qureshi,2020,D,RR,1,,0
Aisam Ul Haq Qureshi,2022,D,RR,1,,0
Aisam Ul Haq Qureshi,2023,D,RR,1,,0
Aissa Benchakroun,2020,D,RR,1,1671.0,0
Aivaras Balzekas,2000,D,RR,1,1310.0,0
Ajeet Rai,2019,D,RR,1,744.0,0
Aki Rahunen,1991,A,R64,1,62.0,0
Aki Rahunen,1991,A,R32,1,62.0,0
Aki Rahunen,1991,A,R16,1,62.0,0
Aki Rahunen,1991,D,RR,1,62.0,0
Aki Rahunen,1992,D,RR,1,188.0,0
Aki Rahunen,1992,G,R128,1,188.0,0
Akira Santillan,2017,A,R32,2,168.0,0
Alaaddin Karagoz,1991,D,RR,1,,0
Alan Fernando Rubio Fierros,2024,D,RR,1,707.0,0
Alan Mackin,2006,D,RR,1,369.0,0
Alastair Gray,2022,G,R128,1,288.0,0
Albano Olivetti,2012,A,R16,1,388.0,0
Albano Olivetti,2013,A,R32,1,254.0,0
Albano Olivetti,2014,A,R16,1,249.0,0
Albert Chang,1994,A,R32,1,179.0,0
Albert Chang,1994,A,R16,1,179.0,0
Albert Chang,1995,A,R16,1,194.0,0
Albert Chang,1995,D,RR,1,194.0,0
Albert Costa,1993,A,R16,1,281.0,0
Albert Costa,1994,A,R32,3,51.0,0
Albert Costa,1994,A,QF,3,51.0,0
Albert Costa,1994,M,R64,2,51.0,0
Albert Costa,1995,A,R32,5,22.0,0
Albert Costa,1995,A,R16,2,22.0,0
Albert Costa,1995,A,QF,2,22.0,0
Albert Costa,1995,A,SF,2,22.0,0
Albert Costa,1995,A,F,1,22.0,1
Albert Costa,1995,G,R16,1,22.0,0
Albert Costa,1995,M,R64,1,22.0,0
Albert Costa,1996,A,RR,1,13.0,0
Albert Costa,1996,A,R64,1,13.0,0
Albert Costa,1996,A,R32,3,13.0,0
Albert Costa,1996,A,R16,2,13.0,0
Albert Costa,1996,A,QF,1,13.0,0
Albert Costa,1996,A,SF,1,13.0,0
Albert Costa,1996,A,F,3,13.0,3
Albert Costa,1996,D,RR,2,13.0,0
Albert Costa,1996,G,R128,3,13.0,0
Albert Costa,1996,M,R64,2,13.0,0
Albert Costa,1996,M,R32,1,13.0,0
Albert Costa,1996,M,QF,1,13.0,0
Albert Costa,1996,M,SF,1,13.0,0
Albert Costa,1997,A,R32,2,9.0,0
Albert Costa,1997,A,R16,1,9.0,0
Albert Costa,1997,A,QF,3,9.0,0
Albert Costa,1997,A,F,3,9.0,3
Albert Costa,1997,D,RR,1,9.0,0
Albert Costa,1997,G,R64,1,9.0,0
Albert Costa,1997,G,R16,1,9.0,0
Albert Costa,1997,M,R64,1,9.0,0
Albert Costa,1997,M,R32,2,9.0,0
Albert Costa,1997,M,R16,1,9.0,0
Albert Costa,1997,M,QF,1,9.0,0
Albert Costa,1998,A,R32,3,13.0,0
Albert Costa,1998,A,R16,5,13.0,0
Albert Costa,1998,A,SF,1,13.0,0
Albert Costa,1998,A,F,1,13.0,1
Albert Costa,1998,G,R128,2,13.0,0
Albert Costa,1998,G,R32,1,13.0,0
Albert Costa,1998,M,R64,2,13.0,0
Albert Costa,1998,M,R32,3,13.0,0
Albert Costa,1998,M,SF,1,13.0,0
Albert Costa,1998,M,F,1,13.0,1
Albert Costa,1999,A,R64,1,13.0,0
Albert Costa,1999,A,R32,2,13.0,0
Albert Costa,1999,A,R16,2,13.0,0
Albert Costa,1999,A,QF,2,13.0,0
Albert Costa,1999,A,F,3,13.0,3
Albert Costa,1999,G,R64,1,13.0,0
Albert Costa,1999,M,R64,2,13.0,0
Albert Costa,1999,M,R32,2,13.0,0
Albert Costa,1999,M,R16,1,13.0,0
Albert Costa,2000,A,R32,2,13.0,0
Albert Costa,2000,A,QF,3,13.0,0
Albert Costa,2000,D,RR,3,13.0,0
Albert Costa,2000,G,R128,1,13.0,0
Albert Costa,2000,G,R16,1,13.0,0
Albert Costa,2000,M,R64,1,13.0,0
Albert Costa,2000,M,R32,1,13.0,0
Albert Costa,2000,M,R16,3,13.0,0
Albert Costa,2001,A,R32,4,33.0,0
Albert Costa,2001,A,R16,1,33.0,0
Albert Costa,2001,A,SF,1,33.0,0
Albert Costa,2001,G,R32,1,33.0,0
Albert Costa,2001,M,R128,1,33.0,0
Albert Costa,2001,M,R64,1,33.0,0
Albert Costa,2001,M,R32,3,33.0,0
Albert Costa,2001,M,QF,1,33.0,0
Albert Costa,2002,A,RR,1,6.0,0
Albert Costa,2002,A,R32,1,6.0,0
Albert Costa,2002,A,R16,1,6.0,0
Albert Costa,2002,A,SF,2,6.0,0
Albert Costa,2002,F,RR,1,6.0,0
Albert Costa,2002,G,R128,1,6.0,0
Albert Costa,2002,G,R32,1,6.0,0
Albert Costa,2002,G,F,1,6.0,1
Albert Costa,2002,M,R64,3,6.0,0
Albert Costa,2002,M,R16,2,6.0,0
Albert Costa,2003,A,R32,3,7.0,0
Albert Costa,2003,D,RR,1,7.0,0
Albert Costa,2003,G,R128,1,7.0,0
Albert Costa,2003,G,R64,1,7.0,0
Albert Costa,2003,G,QF,1,7.0,0
Albert Costa,2003,M,R64,5,7.0,0
Albert Costa,2003,M,R32,1,7.0,0
Albert Costa,2003,M,QF,1,7.0,0
Albert Costa,2004,A,RR,1,23.0,0
Albert Costa,2004,A,R32,5,23.0,0
Albert Costa,2004,A,R16,1,23.0,0
Albert Costa,2004,G,R64,2,23.0,0
Albert Costa,2004,M,R64,2,23.0,0
Albert Costa,2004,M,R32,1,23.0,0
Albert Costa,2004,M,QF,1,23.0,0
Albert Costa,2005,A,R64,1,50.0,0
Albert Costa,2005,A,R32,3,50.0,0
Albert Costa,2005,A,QF,2,50.0,0
Albert Costa,2005,M,R64,3,50.0,0
Albert Costa,2006,A,R32,1,249.0,0
Albert Montanes,2001,A,R64,1,65.0,0
Albert Montanes,2001,A,R32,2,65.0,0
Albert Montanes,2001,A,R16,2,65.0,0
Albert Montanes,2001,A,SF,1,65.0,0
Albert Montanes,2001,G,R64,1,65.0,0
Albert Montanes,2002,A,R32,5,54.0,0
Albert Montanes,2002,A,R16,2,54.0,0
Albert Montanes,2002,A,QF,1,54.0,0
Albert Montanes,2002,G,R64,1,54.0,0
Albert Montanes,2002,M,R128,1,54.0,0
Albert Montanes,2002,M,R32,1,54.0,0
Albert Montanes,2003,A,R16,1,81.0,0
Albert Montanes,2003,A,QF,2,81.0,0
Albert Montanes,2003,G,R128,1,81.0,0
Albert Montanes,2004,A,R32,2,73.0,0
Albert Montanes,2004,A,QF,1,73.0,0
Albert Montanes,2004,A,SF,1,73.0,0
Albert Montanes,2004,G,R128,1,73.0,0
Albert Montanes,2005,A,R32,3,62.0,0
Albert Montanes,2005,A,SF,1,62.0,0
Albert Montanes,2005,G,R128,2,62.0,0
Albert Montanes,2005,M,R64,1,62.0,0
Albert Montanes,2006,A,R16,4,75.0,0
Albert Montanes,2006,G,R64,1,75.0,0
Albert Montanes,2006,M,R128,1,75.0,0
Albert Montanes,2007,A,RR,1,46.0,0
Albert Montanes,2007,A,R64,1,46.0,0
Albert Montanes,2007,A,R32,3,46.0,0
Albert Montanes,2007,A,R16,1,46.0,0
Albert Montanes,2007,A,QF,3,46.0,0
Albert Montanes,2007,A,SF,1,46.0,0
Albert Montanes,2007,G,R64,1,46.0,0
Albert Montanes,2007,M,R64,1,46.0,0
Albert Montanes,2008,A,R64,1,45.0,0
Albert Montanes,2008,A,R32,5,45.0,0
Albert Montanes,2008,A,R16,3,45.0,0
Albert Montanes,2008,A,F,1,45.0,1
Albert Montanes,2008,G,R128,2,45.0,0
Albert Montanes,2008,M,R128,1,45.0,0
Albert Montanes,2008,M,R16,1,45.0,0
Albert Montanes,2009,A,R32,2,32.0,0
Albert Montanes,2009,A,R16,1,32.0,0
Albert Montanes,2009,A,QF,1,32.0,0
Albert Montanes,2009,A,F,2,32.0,2
Albert Montanes,2009,G,R64,1,32.0,0
Albert Montanes,2009,M,R128,2,32.0,0
Albert Montanes,2009,M,R64,2,32.0,0
Albert Montanes,2009,M,R32,1,32.0,0
Albert Montanes,2010,A,R32,3,22.0,0
Albert Montanes,2010,A,R16,1,22.0,0
Albert Montanes,2010,A,QF,4,22.0,0
Albert Montanes,2010,A,F,2,22.0,2
Albert Montanes,2010,G,R64,3,22.0,0
Albert Montanes,2010,G,R32,1,22.0,0
Albert Montanes,2010,M,R64,1,22.0,0
Albert Montanes,2010,M,R16,1,22.0,0
Albert Montanes,2011,A,R32,4,23.0,0
Albert Montanes,2011,A,R16,2,23.0,0
Albert Montanes,2011,A,QF,1,23.0,0
