winner_name,surface,ace_pct,1stIn_pct,1stWon_pct,2ndWon_pct,df_pct,bpSaved_pct
Aaron Krickstein,Carpet,8.808223682404575,63.00454270241785,75.46542629301938,62.68405888391447,1.3840214350872426,70.5489417989418
Aaron Krickstein,Clay,4.92507014016156,56.399290144775065,74.62701188998155,56.77540107439023,2.3509747360710302,67.04777365491651
Aaron Krickstein,Grass,6.504991864073015,60.77263386421552,78.86985086039455,54.62960517144583,2.9501718270806645,64.00966183574879
Aaron Krickstein,Hard,5.941872712055359,56.903418733904495,72.78133304475233,60.88032427073026,2.3718932026756288,61.86120388326271
Abd Hazli Bin Zainuddin,Hard,,,,,,
Abdelhak Hameurlaine,Clay,,,,,,
Abdullah Maqdas,Clay,,,,,,
Abdullah Maqdas,Hard,,,,,,
Abedallah Shelbayh,Clay,5.454545454545454,60.0,72.72727272727273,40.0,3.6363636363636362,57.14285714285714
Abedallah Shelbayh,Hard,10.477202929364516,62.248995983935735,68.01470588235294,63.02083333333333,3.7680132293881403,73.86363636363637
Abou Berthe,Hard,,,,,,
Adam Chadaj,Clay,1.1235955056179776,59.55056179775281,69.81132075471697,51.61290322580645,5.617977528089887,66.66666666666666
Adam Kellner,Carpet,,,,,,
Adam Kellner,Clay,,,,,,
Adam Kellner,Hard,,,,,,
Adam Malik,Carpet,10.433231396534149,56.87054026503567,84.1109709962169,60.30361757105943,3.4046890927624873,50.0
Adam Malik,Clay,,,,,,
Adam Malik,Hard,,,,,,
Adam Moundir,Clay,,,,,,
Adam Pavlasek,Clay,7.568939784018481,62.44059000621596,73.29205366357068,62.542034485603494,3.4516221807824694,82.96992481203009
Adam Pavlasek,Grass,13.592233009708737,67.96116504854369,84.28571428571429,60.71428571428571,4.854368932038835,66.66666666666666
Adam Skrzypczak,Clay,,,,,,
Adam Thompson,Carpet,,,,,,
Adam Thompson,Hard,,,,,,
Adam Walton,Grass,4.945054945054945,59.18803418803419,78.16326530612245,66.9973544973545,1.4346764346764345,70.83333333333333
Adam Walton,Hard,10.16949152542373,66.10169491525424,84.61538461538461,68.75,6.779661016949152,100.0
Adelo Abadia,Clay,,,,,,
Aditya Hari Sasongko,Hard,,,,,,
Adolfo Daniel Vallejo,Clay,,,,,,
