winner_name,surface,tourney_level,tourney_name,count
Albert Ramos,Clay,A,Buenos Aires,15
Albert Ramos,Clay,A,Casablanca,5
Albert Ramos,Clay,A,Cordoba,15
Albert Ramos,Clay,A,Estoril,11
Albert Ramos,Clay,A,Geneva,5
Albert Ramos,Clay,A,Gstaad,12
Albert Ramos,Clay,A,Hamburg,5
Albert Ramos,Clay,A,Kitzbuhel,9
Albert Ramos,Clay,A,Other,15
Albert Ramos,Clay,A,Quito,8
Albert Ramos,Clay,A,Rio de Janeiro,9
Albert Ramos,Clay,A,Santiago,8
Albert Ramos,Clay,A,Sao Paulo,11
Albert Ramos,Clay,A,Umag,5
Albert Ramos,Clay,D,Other,2
Albert Ramos,Clay,G,Roland Garros,12
Albert Ramos,Clay,M,Madrid Masters,6
Albert Ramos,Clay,M,Monte Carlo Masters,11
Albert Ramos,Clay,M,Rome Masters,6
Albert Ramos,Grass,A,Other,1
Albert Ramos,Grass,G,Wimbledon,5
Albert Ramos,Hard,A,Chengdu,4
Albert Ramos,Hard,A,Other,25
Albert Ramos,Hard,D,Other,4
Albert Ramos,Hard,G,Other,8
Albert Ramos,Hard,M,Indian Wells Masters,12
Albert Ramos,Hard,M,Miami Masters,9
Albert Ramos,Hard,M,Other,7
Albert Ramos,Hard,M,Shanghai Masters,7
Alberto Berasategui,Carpet,A,Other,4
Alberto Berasategui,Carpet,M,Other,3
Alberto Berasategui,Clay,A,Athens,9
Alberto Berasategui,Clay,A,Barcelona,19
Alberto Berasategui,Clay,A,Bologna,11
Alberto Berasategui,Clay,A,Bucharest,10
Alberto Berasategui,Clay,A,Buenos Aires,8
Alberto Berasategui,Clay,A,Casablanca,8
Alberto Berasategui,Clay,A,Estoril,10
Alberto Berasategui,Clay,A,Gstaad,5
Alberto Berasategui,Clay,A,Kitzbuhel,8
Alberto Berasategui,Clay,A,Marbella,5
Alberto Berasategui,Clay,A,Montevideo,9
Alberto Berasategui,Clay,A,Munich,4
Alberto Berasategui,Clay,A,Nice,5
Alberto Berasategui,Clay,A,Oporto,5
Alberto Berasategui,Clay,A,Other,24
Alberto Berasategui,Clay,A,Palermo,15
Alberto Berasategui,Clay,A,Santiago,10
Alberto Berasategui,Clay,A,Sao Paulo,5
Alberto Berasategui,Clay,A,Stuttgart Outdoor,13
Alberto Berasategui,Clay,A,Umag,11
Alberto Berasategui,Clay,D,Other,1
Alberto Berasategui,Clay,G,Roland Garros,17
Alberto Berasategui,Clay,M,Hamburg Masters,8
Alberto Berasategui,Clay,M,Monte Carlo Masters,8
Alberto Berasategui,Clay,M,Rome Masters,11
Alberto Berasategui,Hard,A,Dubai,4
Alberto Berasategui,Hard,A,Other,11
Alberto Berasategui,Hard,D,Other,1
Alberto Berasategui,Hard,G,Australian Open,6
Alberto Berasategui,Hard,G,Other,2
Alberto Berasategui,Hard,M,Indian Wells Masters,4
Alberto Berasategui,Hard,M,Other,5
Alberto Brause,Clay,D,Other,1
Alberto Lim,Clay,D,Other,1
Alberto Lim,Hard,D,Other,2
Alberto Mancini,Carpet,A,Other,2
Alberto Mancini,Carpet,D,Other,1
Alberto Mancini,Clay,A,Bastad,4
Alberto Mancini,Clay,A,Kitzbuhel,6
Alberto Mancini,Clay,A,Other,12
Alberto Mancini,Clay,A,Stuttgart Outdoor,7
Alberto Mancini,Clay,D,Other,2
Alberto Mancini,Clay,G,Roland Garros,5
Alberto Mancini,Clay,M,Other,3
Alberto Mancini,Clay,M,Rome Masters,7
Alberto Mancini,Hard,A,Other,8
Alberto Mancini,Hard,G,Other,1
Alberto Mancini,Hard,M,Miami Masters,6
Alberto Mancini,Hard,M,Other,3
Alberto Martin,Carpet,A,Other,1
Alberto Martin,Clay,A,Acapulco,4
Alberto Martin,Clay,A,Amersfoort,5
Alberto Martin,Clay,A,Barcelona,16
Alberto Martin,Clay,A,Bucharest,9
Alberto Martin,Clay,A,Buenos Aires,6
Alberto Martin,Clay,A,Casablanca,6
Alberto Martin,Clay,A,Costa Do Sauipe,10
Alberto Martin,Clay,A,Estoril,4
Alberto Martin,Clay,A,Kitzbuhel,6
Alberto Martin,Clay,A,Mallorca,8
Alberto Martin,Clay,A,Other,18
Alberto Martin,Clay,A,Palermo,11
Alberto Martin,Clay,A,Stuttgart,5
Alberto Martin,Clay,A,Umag,10
Alberto Martin,Clay,A,Valencia,7
Alberto Martin,Clay,G,Roland Garros,5
Alberto Martin,Clay,M,Hamburg Masters,7
Alberto Martin,Clay,M,Monte Carlo Masters,14
Alberto Martin,Clay,M,Rome Masters,6
Alberto Martin,Grass,A,Other,3
Alberto Martin,Grass,G,Wimbledon,5
Alberto Martin,Hard,A,Adelaide,10
Alberto Martin,Hard,A,Auckland,6
Alberto Martin,Hard,A,Other,17
Alberto Martin,Hard,G,Australian Open,6
Alberto Martin,Hard,G,US Open,4
Alberto Martin,Hard,M,Other,10
Alberto Paris,Clay,D,Other,1
Aldin Setkic,Clay,D,Other,6
Aldin Setkic,Hard,D,Other,2
Alejandro Aramburu,Clay,D,Other,10
Alejandro Aramburu,Hard,D,Other,1
Alejandro Davidovich Fokina,Clay,A,Estoril,8
Alejandro Davidovich Fokina,Clay,A,Other,9
Alejandro Davidovich Fokina,Clay,G,Roland Garros,8
Alejandro Davidovich Fokina,Clay,M,Madrid Masters,5
Alejandro Davidovich Fokina,Clay,M,Monte Carlo Masters,8
Alejandro Davidovich Fokina,Clay,M,Rome Masters,4
Alejandro Davidovich Fokina,Grass,A,Other,3
Alejandro Davidovich Fokina,Grass,G,Other,3
Alejandro Davidovich Fokina,Hard,A,Doha,4
Alejandro Davidovich Fokina,Hard,A,Dubai,4
Alejandro Davidovich Fokina,Hard,A,Other,28
Alejandro Davidovich Fokina,Hard,D,Other,1
Alejandro Davidovich Fokina,Hard,G,Australian Open,4
Alejandro Davidovich Fokina,Hard,G,Us Open,8
Alejandro Davidovich Fokina,Hard,M,Canada Masters,6
Alejandro Davidovich Fokina,Hard,M,Indian Wells Masters,5
Alejandro Davidovich Fokina,Hard,M,Other,7
Alejandro Falla,Carpet,A,Other,3
Alejandro Falla,Clay,A,Other,10
Alejandro Falla,Clay,D,Other,12
Alejandro Falla,Clay,G,Roland Garros,7
Alejandro Falla,Clay,M,Other,1
Alejandro Falla,Grass,A,Halle,6
Alejandro Falla,Grass,A,Other,5
Alejandro Falla,Grass,G,Wimbledon,5
Alejandro Falla,Hard,A,Auckland,5
Alejandro Falla,Hard,A,Bogota,5
Alejandro Falla,Hard,A,Delray Beach,4
Alejandro Falla,Hard,A,Other,16
Alejandro Falla,Hard,A,Washington,7
Alejandro Falla,Hard,D,Other,5
Alejandro Falla,Hard,G,Australian Open,7
Alejandro Falla,Hard,G,Other,2
Alejandro Falla,Hard,M,Miami Masters,8
Alejandro Falla,Hard,M,Other,6
Alejandro Gomez Gb42,Hard,A,Other,1
Alejandro Gonzalez,Clay,A,Other,3
Alejandro Gonzalez,Clay,D,Other,3
Alejandro Gonzalez,Clay,G,Other,1
Alejandro Gonzalez,Hard,A,Other,3
Alejandro Gonzalez,Hard,D,Other,3
Alejandro Gonzalez,Hard,G,Other,2
Alejandro Gonzalez,Hard,M,Other,3
Alejandro Hernandez,Carpet,D,Other,3
Alejandro Hernandez,Clay,A,Mexico City,7
Alejandro Hernandez,Clay,A,Other,4
Alejandro Hernandez,Clay,D,Other,10
Alejandro Hernandez,Hard,D,Other,13
Alejandro Moro Canas,Clay,A,Other,1
Alejandro Olivera,Hard,D,Other,1
Alejandro Tabilo,Clay,A,Cordoba,4
Alejandro Tabilo,Clay,A,Other,6
Alejandro Tabilo,Clay,A,Santiago,8
Alejandro Tabilo,Clay,D,Other,2
Alejandro Tabilo,Clay,M,Other,1
Alejandro Tabilo,Clay,M,Rome Masters,4
Alejandro Tabilo,Grass,A,Mallorca,4
Alejandro Tabilo,Grass,A,Other,1
Alejandro Tabilo,Grass,G,Other,3
Alejandro Tabilo,Hard,A,Auckland,5
Alejandro Tabilo,Hard,A,Other,5
Alejandro Tabilo,Hard,D,Other,3
Alejandro Tabilo,Hard,G,Other,2
Alejandro Tabilo,Hard,M,Indian Wells Masters,5
Alejandro Tabilo,Hard,M,Other,5
Alejo Mancisidor,Clay,A,Other,3
Alejo Mancisidor,Hard,A,Other,2
Aleksandar Kovacevic,Clay,A,Other,1
Aleksandar Kovacevic,Grass,A,Other,2
Aleksandar Kovacevic,Hard,A,Los Cabos,4
Aleksandar Kovacevic,Hard,A,Other,7
Aleksandar Kovacevic,Hard,G,Other,1
Aleksandar Kovacevic,Hard,M,Other,1
Aleksandar Vukic,Clay,A,Other,3
Aleksandar Vukic,Clay,M,Other,1
Aleksandar Vukic,Grass,A,Eastbourne,4
Aleksandar Vukic,Grass,A,Other,4
Aleksandar Vukic,Grass,G,Other,2
Aleksandar Vukic,Hard,A,Atlanta,4
Aleksandar Vukic,Hard,A,Other,15
Aleksandar Vukic,Hard,G,Other,1
Aleksandar Vukic,Hard,M,Other,7
Aleksandr Nedovyesov,Clay,A,Other,1
Aleksandr Nedovyesov,Clay,G,Other,1
Aleksandr Nedovyesov,Grass,D,Other,1
Aleksandr Nedovyesov,Hard,A,Other,1
Aleksandr Nedovyesov,Hard,D,Other,1
Aleksandr Nedovyesov,Hard,G,Other,1
Aleksandre Bakshi,Hard,D,Other,2
Aleksandre Metreveli,Clay,D,Other,1
Aleksandre Metreveli,Hard,A,Other,1
Alen Avidzba,Hard,A,Other,1
Alessandro Giannessi,Clay,A,Other,7
Alessandro Giannessi,Clay,A,Umag,4
Alessandro Giannessi,Hard,D,Other,1
Alessandro Giannessi,Hard,G,Other,1
Alessio Di Mauro,Clay,A,Buenos Aires,4
Alessio Di Mauro,Clay,A,Other,8
Alessio Di Mauro,Clay,D,Other,1
Alessio Di Mauro,Clay,M,Other,2
Alessio Di Mauro,Grass,G,Other,1
Alessio Di Mauro,Hard,G,Other,1
Alex Antonitsch,Carpet,A,Other,11
Alex Antonitsch,Carpet,D,Other,2
Alex Antonitsch,Clay,A,Other,1
Alex Antonitsch,Grass,A,Newport,7
Alex Antonitsch,Grass,A,Other,3
Alex Antonitsch,Grass,D,Other,2
Alex Antonitsch,Hard,A,Other,14
Alex Antonitsch,Hard,A,Seoul,4
Alex Antonitsch,Hard,A,Washington,4
Alex Antonitsch,Hard,D,Other,1
Alex Antonitsch,Hard,G,Australian Open,4
Alex Antonitsch,Hard,M,Other,1
Alex Bogdanovic,Clay,D,Other,1
Alex Bogdanovic,Grass,A,Other,9
Alex Bogdanovic,Hard,A,Other,1
Alex Bogomolov Jr,Clay,A,Other,2
Alex Bogomolov Jr,Grass,A,Newport,5
Alex Bogomolov Jr,Grass,A,Other,4
Alex Bogomolov Jr,Grass,G,Other,2
Alex Bogomolov Jr,Hard,A,Indianapolis,6
Alex Bogomolov Jr,Hard,A,Los Angeles,5
Alex Bogomolov Jr,Hard,A,Other,27
Alex Bogomolov Jr,Hard,D,Other,1
Alex Bogomolov Jr,Hard,G,Other,5
Alex Bogomolov Jr,Hard,M,Canada Masters,4
Alex Bogomolov Jr,Hard,M,Other,9
Alex Bolt,Grass,A,Other,3
Alex Bolt,Grass,G,Other,1
Alex Bolt,Hard,A,Other,8
Alex Bolt,Hard,G,Australian Open,4
Alex Bolt,Hard,M,Other,1
Alex Calatrava,Clay,A,Amsterdam,4
Alex Calatrava,Clay,A,Bucharest,5
Alex Calatrava,Clay,A,Casablanca,7
Alex Calatrava,Clay,A,Other,20
Alex Calatrava,Clay,A,San Marino,5
Alex Calatrava,Clay,G,Other,2
Alex Calatrava,Clay,M,Other,3
Alex Calatrava,Grass,G,Other,1
Alex Calatrava,Hard,A,Delray Beach,5
Alex Calatrava,Hard,A,Other,12
Alex Calatrava,Hard,G,Other,4
Alex Calatrava,Hard,M,Other,1
Alex Corretja,Carpet,A,Lyon,5
Alex Corretja,Carpet,A,Other,2
Alex Corretja,Carpet,M,Other,3
Alex Corretja,Clay,A,Amsterdam,6
Alex Corretja,Clay,A,Athens,4
Alex Corretja,Clay,A,Barcelona,13
Alex Corretja,Clay,A,Bucharest,6
Alex Corretja,Clay,A,Buenos Aires,9
Alex Corretja,Clay,A,Dusseldorf,10
Alex Corretja,Clay,A,Estoril,11
Alex Corretja,Clay,A,Gstaad,26
Alex Corretja,Clay,A,Kitzbuhel,16
Alex Corretja,Clay,A,Madrid,5
Alex Corretja,Clay,A,Mallorca,5
Alex Corretja,Clay,A,Marbella,4
Alex Corretja,Clay,A,Mexico City,7
Alex Corretja,Clay,A,Munich,7
Alex Corretja,Clay,A,Other,18
Alex Corretja,Clay,A,Palermo,18
Alex Corretja,Clay,A,Santiago,6
Alex Corretja,Clay,A,Stuttgart Outdoor,12
Alex Corretja,Clay,D,Other,11
Alex Corretja,Clay,G,Roland Garros,36
Alex Corretja,Clay,M,Hamburg Masters,18
Alex Corretja,Clay,M,Monte Carlo Masters,20
Alex Corretja,Clay,M,Rome Masters,24
Alex Corretja,Grass,A,Other,1
Alex Corretja,Grass,D,Other,1
Alex Corretja,Grass,G,Other,2
Alex Corretja,Hard,A,Dubai,5
Alex Corretja,Hard,A,Guaruja,4
Alex Corretja,Hard,A,Indianapolis,13
Alex Corretja,Hard,A,Long Island,7
Alex Corretja,Hard,A,Other,15
Alex Corretja,Hard,A,Scottsdale,5
Alex Corretja,Hard,A,Sydney,7
Alex Corretja,Hard,A,Toulouse,5
Alex Corretja,Hard,A,Washington,9
Alex Corretja,Hard,F,Other,1
Alex Corretja,Hard,F,Tour Finals,4
Alex Corretja,Hard,G,Australian Open,7
Alex Corretja,Hard,G,US Open,16
Alex Corretja,Hard,M,Indian Wells Masters,14
Alex Corretja,Hard,M,Madrid Masters,4
Alex Corretja,Hard,M,Miami Masters,13
Alex Corretja,Hard,M,Other,4
Alex De Minaur,Clay,A,Barcelona,7
Alex De Minaur,Clay,A,Other,3
Alex De Minaur,Clay,G,Roland Garros,7
Alex De Minaur,Clay,M,Madrid Masters,4
Alex De Minaur,Clay,M,Monte Carlo Masters,5
Alex De Minaur,Clay,M,Rome Masters,4
Alex De Minaur,Grass,A,Eastbourne,7
Alex De Minaur,Grass,A,Other,1
Alex De Minaur,Grass,A,Queen's Club,8
Alex De Minaur,Grass,A,s Hertogenbosch,6
Alex De Minaur,Grass,G,Wimbledon,11
Alex De Minaur,Hard,A,Acapulco,12
Alex De Minaur,Hard,A,Antalya,5
Alex De Minaur,Hard,A,Antwerp,5
Alex De Minaur,Hard,A,Atlanta,10
Alex De Minaur,Hard,A,Atp Cup,4
Alex De Minaur,Hard,A,Basel,5
Alex De Minaur,Hard,A,Brisbane,5
Alex De Minaur,Hard,A,Los Cabos,4
Alex De Minaur,Hard,A,Other,13
Alex De Minaur,Hard,A,Rotterdam,9
Alex De Minaur,Hard,A,Sydney,10
Alex De Minaur,Hard,A,United Cup,4
Alex De Minaur,Hard,A,Vienna,4
Alex De Minaur,Hard,A,Washington,5
Alex De Minaur,Hard,A,Zhuhai,5
Alex De Minaur,Hard,D,Other,15
Alex De Minaur,Hard,F,NextGen Finals,8
Alex De Minaur,Hard,G,Australian Open,14
Alex De Minaur,Hard,G,US Open,5
Alex De Minaur,Hard,G,Us Open,13
Alex De Minaur,Hard,M,Canada Masters,7
Alex De Minaur,Hard,M,Cincinnati Masters,5
Alex De Minaur,Hard,M,Indian Wells Masters,7
Alex De Minaur,Hard,M,Other,5
Alex De Minaur,Hard,M,Paris Masters,12
Alex Diaz,Hard,D,Other,2
