winner_name,surface,tourney_level,tourney_name,count
Aaron Krickstein,Carpet,A,Other,9
Aaron Krickstein,Carpet,M,Stockholm Masters,5
Aaron Krickstein,Clay,A,Other,12
Aaron Krickstein,Clay,G,Roland Garros,7
Aaron Krickstein,Clay,M,Monte Carlo Masters,6
Aaron Krickstein,Clay,M,Other,2
Aaron Krickstein,Grass,A,Other,1
Aaron Krickstein,Grass,G,Wimbledon,8
Aaron Krickstein,Hard,A,Brisbane,4
Aaron Krickstein,Hard,A,Durban,5
Aaron Krickstein,Hard,A,Johannesburg,5
Aaron Krickstein,Hard,A,Los Angeles,7
Aaron Krickstein,Hard,A,Other,14
Aaron Krickstein,Hard,A,Sydney Outdoor,6
Aaron Krickstein,Hard,A,Washington,7
Aaron Krickstein,Hard,G,Australian Open,13
Aaron Krickstein,Hard,G,US Open,5
Aaron Krickstein,Hard,M,Canada Masters,6
Aaron Krickstein,Hard,M,Cincinnati Masters,4
Aaron Krickstein,Hard,M,Indian Wells Masters,4
Aaron Krickstein,Hard,M,Miami Masters,4
Abd Hazli Bin Zainuddin,Hard,D,Other,1
Abdelhak Hameurlaine,Clay,D,Other,3
Abdullah Maqdas,Clay,D,Other,5
Abdullah Maqdas,Hard,D,Other,6
Abedallah Shelbayh,Clay,A,Other,1
Abedallah Shelbayh,Hard,A,Other,1
Abedallah Shelbayh,Hard,F,Other,1
Abou Berthe,Hard,D,Other,1
Adam Chadaj,Clay,A,Other,1
Adam Chadaj,Clay,D,Other,2
Adam Kellner,Carpet,D,Other,2
Adam Kellner,Clay,D,Other,1
Adam Kellner,Hard,D,Other,3
Adam Malik,Carpet,A,Other,2
Adam Malik,Clay,D,Other,1
Adam Malik,Hard,D,Other,8
Adam Moundir,Clay,D,Other,1
Adam Pavlasek,Clay,A,Other,2
Adam Pavlasek,Clay,D,Other,1
Adam Pavlasek,Clay,G,Other,2
Adam Pavlasek,Grass,G,Other,1
Adam Skrzypczak,Clay,D,Other,3
Adam Thompson,Carpet,D,Other,1
Adam Thompson,Hard,D,Other,2
Adam Walton,Grass,A,Other,1
Adam Walton,Grass,G,Other,1
Adam Walton,Hard,A,Other,1
Adelo Abadia,Clay,D,Other,2
Aditya Hari Sasongko,Hard,D,Other,3
Adolfo Daniel Vallejo,Clay,D,Other,2
Adria Soriano Barrera,Clay,D,Other,1
Adrian Andreev,Hard,A,Other,2
Adrian Cruciat,Clay,A,Other,1
Adrian Garcia,Clay,A,Other,6
Adrian Garcia,Clay,D,Other,3
Adrian Garcia,Hard,A,Other,3
Adrian Garcia,Hard,D,Other,1
Adrian Graimprey,Carpet,D,Other,3
Adrian Mannarino,Clay,A,Nice,4
Adrian Mannarino,Clay,A,Other,5
Adrian Mannarino,Clay,G,Other,3
Adrian Mannarino,Clay,M,Other,4
Adrian Mannarino,Grass,A,Antalya,8
Adrian Mannarino,Grass,A,Mallorca,6
Adrian Mannarino,Grass,A,Newport,11
Adrian Mannarino,Grass,A,Other,3
Adrian Mannarino,Grass,A,Queen's Club,11
Adrian Mannarino,Grass,A,s Hertogenbosch,16
Adrian Mannarino,Grass,G,Wimbledon,15
Adrian Mannarino,Hard,A,Acapulco,4
Adrian Mannarino,Hard,A,Astana,7
Adrian Mannarino,Hard,A,Auckland,7
Adrian Mannarino,Hard,A,Bogota,5
Adrian Mannarino,Hard,A,Dallas,6
Adrian Mannarino,Hard,A,Delray Beach,13
Adrian Mannarino,Hard,A,Metz,4
Adrian Mannarino,Hard,A,Montpellier,5
Adrian Mannarino,Hard,A,Moscow,12
Adrian Mannarino,Hard,A,Other,42
Adrian Mannarino,Hard,A,Sofia,9
Adrian Mannarino,Hard,A,Stockholm,4
Adrian Mannarino,Hard,A,Tokyo,4
Adrian Mannarino,Hard,A,Winston-Salem,7
Adrian Mannarino,Hard,A,Zhuhai,4
Adrian Mannarino,Hard,D,Other,8
Adrian Mannarino,Hard,G,Australian Open,14
Adrian Mannarino,Hard,G,US Open,8
Adrian Mannarino,Hard,G,Us Open,6
Adrian Mannarino,Hard,M,Canada Masters,6
Adrian Mannarino,Hard,M,Cincinnati Masters,8
Adrian Mannarino,Hard,M,Indian Wells Masters,11
Adrian Mannarino,Hard,M,Miami Masters,13
Adrian Mannarino,Hard,M,Other,1
Adrian Mannarino,Hard,M,Paris Masters,10
Adrian Marcu,Clay,D,Other,3
Adrian Menendez Maceiras,Clay,A,Other,1
Adrian Menendez Maceiras,Grass,A,Other,1
Adrian Menendez Maceiras,Hard,A,Other,3
Adrian Menendez Maceiras,Hard,G,Other,1
Adrian Ungur,Clay,A,Other,5
Adrian Ungur,Clay,D,Other,5
Adrian Ungur,Clay,G,Other,1
Adrian Ungur,Hard,D,Other,7
Adrian Voinea,Carpet,A,Other,9
Adrian Voinea,Carpet,D,Other,4
Adrian Voinea,Clay,A,Amsterdam,7
Adrian Voinea,Clay,A,Bournemouth,5
Adrian Voinea,Clay,A,Bucharest,7
Adrian Voinea,Clay,A,Kitzbuhel,5
Adrian Voinea,Clay,A,Other,11
Adrian Voinea,Clay,A,Palermo,5
Adrian Voinea,Clay,A,San Marino,7
Adrian Voinea,Clay,A,Umag,5
Adrian Voinea,Clay,D,Other,5
Adrian Voinea,Clay,G,Roland Garros,7
Adrian Voinea,Clay,M,Hamburg Masters,5
Adrian Voinea,Clay,M,Other,1
Adrian Voinea,Grass,A,Other,3
Adrian Voinea,Grass,G,Other,2
Adrian Voinea,Hard,A,Long Island,4
Adrian Voinea,Hard,A,Marseille,4
Adrian Voinea,Hard,A,Other,18
Adrian Voinea,Hard,D,Other,1
Adrian Voinea,Hard,G,Australian Open,9
Adrian Voinea,Hard,G,US Open,4
Adrian Voinea,Hard,M,Miami Masters,5
Adrian Voinea,Hard,M,Other,3
Adrians Zguns,Carpet,D,Other,1
Agustin Calleri,Carpet,A,Other,5
Agustin Calleri,Clay,A,Acapulco,15
Agustin Calleri,Clay,A,Amersfoort,6
Agustin Calleri,Clay,A,Barcelona,17
Agustin Calleri,Clay,A,Bastad,7
Agustin Calleri,Clay,A,Buenos Aires,11
Agustin Calleri,Clay,A,Costa Do Sauipe,8
Agustin Calleri,Clay,A,Estoril,7
Agustin Calleri,Clay,A,Kitzbuhel,13
Agustin Calleri,Clay,A,Mallorca,5
Agustin Calleri,Clay,A,Other,16
Agustin Calleri,Clay,A,Umag,4
Agustin Calleri,Clay,A,Vina del Mar,5
Agustin Calleri,Clay,D,Other,6
Agustin Calleri,Clay,G,Roland Garros,4
Agustin Calleri,Clay,M,Hamburg Masters,6
Agustin Calleri,Clay,M,Other,5
Agustin Calleri,Grass,G,Wimbledon,4
Agustin Calleri,Hard,A,Costa Do Sauipe,5
Agustin Calleri,Hard,A,Doha,5
Agustin Calleri,Hard,A,New Haven,5
Agustin Calleri,Hard,A,Other,16
Agustin Calleri,Hard,D,Other,2
Agustin Calleri,Hard,G,Australian Open,4
Agustin Calleri,Hard,G,US Open,6
Agustin Calleri,Hard,M,Indian Wells Masters,5
Agustin Calleri,Hard,M,Madrid Masters,6
Agustin Calleri,Hard,M,Miami Masters,12
Agustin Garizzio,Clay,G,Other,1
Agustin Moreno,Clay,A,Other,1
Ahmad Rabeea Muhammad,Clay,D,Other,1
Ahmad Rabeea Muhammad,Hard,D,Other,3
Ainius Sabaliauskas,Hard,D,Other,1
Aisam Ul Haq Qureshi,Clay,D,Other,7
Aisam Ul Haq Qureshi,Grass,A,Other,4
Aisam Ul Haq Qureshi,Grass,D,Other,16
Aisam Ul Haq Qureshi,Grass,G,Other,1
Aisam Ul Haq Qureshi,Hard,D,Other,13
Aissa Benchakroun,Clay,D,Other,1
Aivaras Balzekas,Carpet,D,Other,1
Ajeet Rai,Hard,D,Other,1
Aki Rahunen,Carpet,A,Other,3
Aki Rahunen,Carpet,D,Other,2
Aki Rahunen,Clay,A,Other,2
Aki Rahunen,Hard,A,Other,1
Aki Rahunen,Hard,D,Other,1
Aki Rahunen,Hard,G,Other,1
Akira Santillan,Grass,A,Other,1
Akira Santillan,Hard,A,Other,1
Alaaddin Karagoz,Hard,D,Other,2
Alan Fernando Rubio Fierros,Hard,D,Other,1
Alan Mackin,Grass,D,Other,1
Alastair Gray,Grass,G,Other,1
Albano Olivetti,Hard,A,Other,5
Albert Chang,Carpet,A,Other,3
Albert Chang,Carpet,D,Other,1
Albert Chang,Hard,A,Other,3
Albert Costa,Carpet,M,Paris Masters,8
Albert Costa,Clay,A,Amersfoort,4
Albert Costa,Clay,A,Barcelona,22
Albert Costa,Clay,A,Bournemouth,9
Albert Costa,Clay,A,Bucharest,7
Albert Costa,Clay,A,Casablanca,4
Albert Costa,Clay,A,Dusseldorf,10
Albert Costa,Clay,A,Estoril,15
Albert Costa,Clay,A,Gstaad,17
Albert Costa,Clay,A,Kitzbuhel,24
Albert Costa,Clay,A,Marbella,5
Albert Costa,Clay,A,Other,17
Albert Costa,Clay,A,Palermo,5
Albert Costa,Clay,A,San Marino,7
Albert Costa,Clay,A,Santiago,5
Albert Costa,Clay,A,Stuttgart,4
Albert Costa,Clay,A,Stuttgart Outdoor,10
Albert Costa,Clay,A,Valencia,5
Albert Costa,Clay,D,Other,7
Albert Costa,Clay,G,Roland Garros,30
Albert Costa,Clay,M,Hamburg Masters,19
Albert Costa,Clay,M,Monte Carlo Masters,23
Albert Costa,Clay,M,Rome Masters,25
Albert Costa,Grass,G,Other,2
Albert Costa,Hard,A,Doha,4
Albert Costa,Hard,A,Dubai,11
Albert Costa,Hard,A,Other,18
Albert Costa,Hard,A,Scottsdale,9
Albert Costa,Hard,A,Sydney Outdoor,5
Albert Costa,Hard,D,Other,2
Albert Costa,Hard,F,Other,1
Albert Costa,Hard,G,Australian Open,13
Albert Costa,Hard,G,US Open,6
Albert Costa,Hard,M,Canada Masters,4
Albert Costa,Hard,M,Cincinnati Masters,7
Albert Costa,Hard,M,Indian Wells Masters,8
Albert Costa,Hard,M,Miami Masters,11
Albert Costa,Hard,M,Other,5
Albert Montanes,Clay,A,Acapulco,13
Albert Montanes,Clay,A,Amersfoort,8
Albert Montanes,Clay,A,Barcelona,19
Albert Montanes,Clay,A,Bucharest,14
Albert Montanes,Clay,A,Buenos Aires,8
Albert Montanes,Clay,A,Casablanca,10
Albert Montanes,Clay,A,Costa Do Sauipe,4
Albert Montanes,Clay,A,Estoril,17
Albert Montanes,Clay,A,Houston,5
Albert Montanes,Clay,A,Kitzbuhel,9
Albert Montanes,Clay,A,Nice,7
Albert Montanes,Clay,A,Other,24
Albert Montanes,Clay,A,Palermo,6
Albert Montanes,Clay,A,Sao Paulo,4
Albert Montanes,Clay,A,Sopot,4
Albert Montanes,Clay,A,Stuttgart,8
Albert Montanes,Clay,A,Umag,5
Albert Montanes,Clay,A,Valencia,4
Albert Montanes,Clay,A,Vina del Mar,10
Albert Montanes,Clay,G,Roland Garros,16
Albert Montanes,Clay,M,Monte Carlo Masters,10
Albert Montanes,Clay,M,Other,3
Albert Montanes,Clay,M,Rome Masters,5
Albert Montanes,Grass,G,Wimbledon,6
Albert Montanes,Hard,A,Auckland,4
Albert Montanes,Hard,A,Other,15
Albert Montanes,Hard,G,Australian Open,4
Albert Montanes,Hard,G,US Open,4
Albert Montanes,Hard,M,Indian Wells Masters,4
Albert Montanes,Hard,M,Miami Masters,5
Albert Montanes,Hard,M,Other,2
Albert Portas,Carpet,M,Other,1
Albert Portas,Clay,A,Barcelona,12
Albert Portas,Clay,A,Bastad,7
Albert Portas,Clay,A,Bucharest,11
Albert Portas,Clay,A,Casablanca,5
Albert Portas,Clay,A,Estoril,7
Albert Portas,Clay,A,Other,21
Albert Portas,Clay,A,Palermo,7
Albert Portas,Clay,A,Prague,6
Albert Portas,Clay,A,San Marino,4
Albert Portas,Clay,A,Sopot,6
Albert Portas,Clay,A,Stuttgart Outdoor,6
Albert Portas,Clay,A,Umag,10
Albert Portas,Clay,A,Vina del Mar,5
Albert Portas,Clay,G,Roland Garros,8
Albert Portas,Clay,M,Hamburg Masters,7
Albert Portas,Clay,M,Other,5
Albert Portas,Grass,A,Other,1
Albert Portas,Grass,G,Other,2
Albert Portas,Hard,A,Other,6
Albert Portas,Hard,G,Other,4
Albert Portas,Hard,M,Other,1
Albert Ramos,Clay,A,Barcelona,16
Albert Ramos,Clay,A,Bastad,14
