,player_id,player_name,surface,matches_won,matches_lost,win_rate
0,200001,Martina Hingis,Carpet,31.0,5,86.11111111111111
1,200001,Martina Hingis,Clay,67.0,17,79.76190476190477
2,200001,Martina Hingis,Grass,23.0,8,74.19354838709677
3,200001,Martina Hingis,Hard,196.0,49,80.0
4,200002,Mirjana Lucic,Clay,18.0,28,39.130434782608695
5,200002,Mirjana Lucic,Grass,12.0,15,44.44444444444444
6,200002,Mirjana Lucic,Hard,35.0,63,35.714285714285715
7,200003,Justine Henin,Carpet,15.0,9,62.5
8,200003,Justine Henin,Clay,111.0,17,86.71875
9,200003,Justine Henin,Grass,38.0,8,82.6086956521739
10,200003,Justine Henin,Hard,221.0,52,80.95238095238095
11,200004,Kerry Anne Guse,Clay,0.0,1,0.0
12,200004,Kerry Anne Guse,Grass,2.0,4,33.33333333333333
13,200004,Kerry Anne Guse,Hard,0.0,8,0.0
14,200005,Jolene Watanabe,Clay,2.0,4,33.33333333333333
15,200005,Jolene Watanabe,Grass,2.0,5,28.57142857142857
16,200005,Jolene Watanabe,Hard,3.0,11,21.428571428571427
17,200006,Karina Habsudova,Carpet,1.0,4,20.0
18,200006,Karina Habsudova,Clay,12.0,12,50.0
19,200006,Karina Habsudova,Grass,3.0,10,23.076923076923077
20,200006,Karina Habsudova,Hard,34.0,27,55.73770491803278
21,200007,Silvija Talaja,Carpet,0.0,4,0.0
22,200007,Silvija Talaja,Clay,10.0,12,45.45454545454545
23,200007,Silvija Talaja,Grass,4.0,8,33.33333333333333
24,200007,Silvija Talaja,Hard,17.0,41,29.310344827586203
25,200008,Alicia Molik,Carpet,0.0,2,0.0
26,200008,Alicia Molik,Clay,7.0,18,28.000000000000004
27,200008,Alicia Molik,Grass,10.0,12,45.45454545454545
28,200008,Alicia Molik,Hard,66.0,69,48.888888888888886
29,200009,Tamarine Tanasugarn,Carpet,4.0,4,50.0
30,200009,Tamarine Tanasugarn,Clay,7.0,24,22.58064516129032
31,200009,Tamarine Tanasugarn,Grass,31.0,19,62.0
32,200009,Tamarine Tanasugarn,Hard,64.0,83,43.53741496598639
33,200010,Rita Grande,Carpet,3.0,7,30.0
34,200010,Rita Grande,Clay,15.0,19,44.11764705882353
35,200010,Rita Grande,Grass,9.0,10,47.368421052631575
36,200010,Rita Grande,Hard,36.0,50,41.86046511627907
37,200011,Katarina Srebotnik,Carpet,7.0,10,41.17647058823529
38,200011,Katarina Srebotnik,Clay,36.0,35,50.70422535211267
39,200011,Katarina Srebotnik,Grass,8.0,11,42.10526315789473
40,200011,Katarina Srebotnik,Hard,72.0,74,49.31506849315068
41,200012,Jana Nejedly,Clay,5.0,10,33.33333333333333
42,200012,Jana Nejedly,Grass,1.0,7,12.5
43,200012,Jana Nejedly,Hard,12.0,22,35.294117647058826
44,200013,Angelica Gavaldon,Clay,1.0,3,25.0
45,200013,Angelica Gavaldon,Grass,3.0,4,42.857142857142854
46,200013,Angelica Gavaldon,Hard,8.0,13,38.095238095238095
47,200014,Tzipi Obziler,Clay,1.0,6,14.285714285714285
